event_uuid,freeze_frame,match_id
5a75eb26-6de1-4dc6-b922-c08ec80c73a5,"[{'teammate': True, 'actor': False, 'keeper': False, 'location': [48.747696, 23.640224]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [52.7228, 33.47703]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [55.24251, 15.64526]}, {'teammate': False, 'actor': True, 'keeper': False, 'location': [55.61576, 16.028072]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [55.63183, 44.269688]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [60.27802, 30.175453]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [61.827972, 16.31507]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [63.678757, 18.716976]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [63.873623, 11.06223]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [64.45236, 8.74135]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [64.88619, 25.922592]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [71.04946, 23.630386]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [72.59457, 8.480125]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [73.71906, 12.22961]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [74.64321, 17.27375]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [75.89176, 18.076912]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [77.61265, 45.345547]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [78.42338, 35.78998]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [79.7513, 17.58128]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [82.7402, 32.309544]}]",3795109
47e14a27-2a55-48dd-bf9b-4ad9fadca79a,"[{'teammate': True, 'actor': False, 'keeper': False, 'location': [63.994793, 12.11649]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [65.65239, 22.518326]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [66.0907, 13.235085]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [68.47775, 4.32212]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [69.48953, 5.858025]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [73.7406, 19.59688]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [77.45471, 33.218395]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [77.4604, 11.52745]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [78.118126, 9.79423]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [78.31762, 42.452217]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [81.09166, 9.23072]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.89741, 28.882423]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [83.96275, 1.8297]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [86.23961, 11.50689]}]",3795109
45e444cc-3979-4aff-a4c2-5fa5181a8eb9,"[{'teammate': True, 'actor': False, 'keeper': False, 'location': [76.750305, 56.49406]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [85.39607, 30.276867]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [86.49804, 65.467186]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [86.62437, 61.7285]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.29798, 45.43007]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [96.107735, 50.719807]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [97.59158, 50.98069]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [101.96092, 49.74293]}]",3795109
63fce548-149d-49f9-b64a-c1ffe808ce95,"[{'teammate': True, 'actor': False, 'keeper': True, 'location': [18.03908, 30.25707]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [22.40842, 29.01931]}, {'teammate': False, 'actor': True, 'keeper': False, 'location': [23.892265, 29.280193]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [29.70202, 34.56993]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [33.37563, 18.2715]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [33.50196, 14.532814]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [34.60393, 49.723133]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [43.249695, 23.50594]}]",3795109
824a6840-ee11-4786-a44d-60434e6da75a,"[{'teammate': True, 'actor': False, 'keeper': True, 'location': [14.5888, 29.310482]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [21.17498, 27.724194]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [24.06124, 31.92155]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [25.80203, 33.73528]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [30.20528, 17.17651]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [31.03425, 48.787712]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [32.21702, 18.085514]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.6815, 17.567207]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [40.74328, 16.15173]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [43.205666, 13.51599]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [51.05062, 28.0012]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [51.34825, 4.77671]}]",3795109
9279b6eb-6ad5-4cc2-9a12-fe926b63885b,"[{'teammate': True, 'actor': False, 'keeper': True, 'location': [14.5888, 29.310482]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [21.17498, 27.724194]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [24.06124, 31.92155]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [25.80203, 33.73528]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [30.20528, 17.17651]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [31.03425, 48.787712]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [32.21702, 18.085514]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.6815, 17.567207]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [40.74328, 16.15173]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [43.205666, 13.51599]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [51.05062, 28.0012]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [51.34825, 4.77671]}]",3795109
eb23e2e3-8306-4751-908b-213f52a11b34,"[{'teammate': False, 'actor': False, 'keeper': False, 'location': [68.65175, 75.22329]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [68.94938, 51.9988]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [76.794334, 66.48401]}, {'teammate': False, 'actor': True, 'keeper': False, 'location': [79.25672, 63.84827]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [79.3185, 62.432793]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [87.78298, 61.914486]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [88.96575, 31.212288]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [89.79472, 62.82349]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [94.19797, 46.26472]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [95.93876, 48.07845]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [98.82502, 52.275806]}, {'teammate': False, 'actor': False, 'keeper': True, 'location': [105.4112, 50.689518]}]",3795109
066309c4-931d-46e7-ac75-15a62c3db071,"[{'teammate': True, 'actor': False, 'keeper': False, 'location': [22.916595, 27.243687]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [26.25243, 31.411724]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [27.859535, 33.797596]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [29.34951, 18.61552]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [31.217445, 45.58031]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [33.10372, 15.434975]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [38.99263, 7.38468]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.77292, 7.293144]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [42.40732, 13.4459]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [45.413994, 27.09065]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [47.098495, 14.72013]}, {'teammate': False, 'actor': True, 'keeper': False, 'location': [47.463646, 15.288216]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [54.144264, 25.739414]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [54.27567, 6.727974]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [55.36201, 10.591415]}]",3795109
ee8d5713-1938-426e-ac2f-73f1d4f5b1b7,"[{'teammate': True, 'actor': False, 'keeper': False, 'location': [64.63799, 69.408585]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [65.72433, 73.272026]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [65.855736, 54.260586]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [72.536354, 64.711784]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [72.901505, 65.27987]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [74.586006, 52.90935]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [77.59268, 66.5541]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [79.22708, 72.706856]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [81.00737, 72.61532]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [86.89628, 64.565025]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [88.782555, 34.41969]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [90.65049, 61.38448]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [92.140465, 46.202404]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [93.74757, 48.588276]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [97.083405, 52.756313]}]",3795109
5f346021-db3c-4384-903e-973e6c9f36d7,"[{'teammate': True, 'actor': False, 'keeper': False, 'location': [25.05445, 26.74952]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [28.466354, 31.686035]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [29.14455, 18.71858]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [30.45049, 33.1607]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [30.99265, 45.03806]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [32.681145, 15.03697]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [36.330864, 10.46031]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.49554, 3.61465]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [40.98918, 15.50659]}, {'teammate': True, 'actor': True, 'keeper': False, 'location': [41.126915, 25.18627]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [42.72728, 13.02033]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [45.61199, 15.88656]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [50.40703, 25.361156]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [53.35316, 5.99731]}, {'teammate': True, 'actor': False, 'keeper': False, 'location': [54.313484, 36.326626]}, {'teammate': False, 'actor': False, 'keeper': False, 'location': [54.66533, 10.61342]}]",3795109
