id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
86563a8c-a7ca-4ca3-9756-7e27e3b07c93,1245,1,28,,66,From Corner,Switzerland,Remo Freuler,Right Defensive Midfield,0.747419,3788765,6983,True,,,Out,,,Low Pass,Left Foot,45.35541,0.34693,63.4,0.4
c85dbf2c-40c5-4565-bda1-493387611fb4,1246,1,29,Throw-in,67,From Throw In,Turkey,Mehmet Zeki Çelik,Right Back,0.827084,3788765,10349,,,True,Complete,30311,İrfan Can Kahveci,Low Pass,,69.8,80.0,71.3,75.2
2abcd68a-0e91-46f8-832f-4a212f4fe4e3,1248,1,29,,67,From Throw In,Turkey,İrfan Can Kahveci,Left Center Midfield,0.384702,3788765,30311,,,True,Complete,10349,Mehmet Zeki Çelik,Ground Pass,Left Foot,76.4,69.2,70.6,76.1
078ab675-201f-439c-9a02-abacb74e14bf,1251,1,29,,67,From Throw In,Turkey,Mehmet Zeki Çelik,Right Back,2.18026,3788765,10349,True,,,Complete,23558,Merih Demiral,Ground Pass,Right Foot,69.92803,79.62597,37.3,66.5
92b92b1f-13c5-4aa4-bbf2-68a59e8ec0f0,1254,1,29,,67,From Throw In,Turkey,Merih Demiral,Right Center Back,1.419901,3788765,23558,,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,36.872604,59.64973,40.1,38.0
669f11d5-d91d-495f-8b65-15a735ace2cc,1257,1,29,,67,From Throw In,Turkey,Caglar Söyüncü,Left Center Back,1.012838,3788765,8963,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,40.65859,37.29514,50.5,36.3
105fbc21-4513-47b6-853e-3bc9e9854039,1260,1,29,,67,From Throw In,Turkey,Ozan Tufan,Right Center Midfield,1.383691,3788765,11088,,,,Complete,23558,Merih Demiral,Ground Pass,Right Foot,51.262547,38.35419,38.3,53.8
0693236f-4fc0-437c-9215-8329d20111d1,1263,1,29,,67,From Throw In,Turkey,Merih Demiral,Right Center Back,0.997329,3788765,23558,,,,Complete,12293,Kaan Ayhan,Ground Pass,Left Foot,42.321873,61.545662,49.9,69.5
37c265d6-5e61-435a-b642-6dc6943f8ed0,1266,1,29,,67,From Throw In,Turkey,Kaan Ayhan,Center Defensive Midfield,1.023474,3788765,12293,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,55.7,70.7,49.5,45.9
9146c04e-b990-43e3-a1cc-a59ed679cad2,1269,1,29,,67,From Throw In,Turkey,Ozan Tufan,Right Center Midfield,1.93148,3788765,11088,,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,58.95554,44.72757,52.5,15.8
445e3481-24cc-4cb7-a1bc-f7424fca8ca5,1272,1,29,,67,From Throw In,Turkey,Caglar Söyüncü,Left Center Back,1.140311,3788765,8963,,,,Complete,10826,Mert Müldür,Ground Pass,Right Foot,56.573994,15.338921,68.5,2.1
1a2dad9b-5ba0-4c98-8d74-d94eb2fcc2e6,1275,1,29,,67,From Throw In,Turkey,Mert Müldür,Left Back,1.53252,3788765,10826,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,67.582405,5.1986985,58.9,15.1
11a10f65-aeb3-4c84-913d-1d5b4fb59ecd,1279,1,29,,67,From Throw In,Turkey,Ozan Tufan,Right Center Midfield,1.266694,3788765,11088,True,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,57.382095,22.988138,47.3,6.4
22f7ea1b-f366-4b88-b42b-f54aa82311d9,1282,1,29,,67,From Throw In,Turkey,Caglar Söyüncü,Left Center Back,0.905105,3788765,8963,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,45.963905,16.5846,43.9,14.9
d61df2b7-4f41-4b8c-a502-e9a188a9de71,1285,1,29,,67,From Throw In,Turkey,Ozan Tufan,Right Center Midfield,1.276793,3788765,11088,,,,Complete,12293,Kaan Ayhan,Ground Pass,Right Foot,43.910343,34.587547,51.0,59.6
8cfaad9b-d907-4185-b615-7aca9acfe532,1288,1,29,,67,From Throw In,Turkey,Kaan Ayhan,Center Defensive Midfield,0.701443,3788765,12293,,,,Complete,30311,İrfan Can Kahveci,Ground Pass,Right Foot,55.373447,57.652924,61.9,45.9
43394cd0-a611-415c-bacb-76fe923c7c66,1291,1,29,,67,From Throw In,Turkey,İrfan Can Kahveci,Left Center Midfield,1.660094,3788765,30311,,,,Complete,12293,Kaan Ayhan,Ground Pass,Left Foot,65.010185,53.774357,64.4,62.8
c887092f-af50-4297-bf35-ebe432e8cd28,1294,1,29,,67,From Throw In,Turkey,Kaan Ayhan,Center Defensive Midfield,0.756638,3788765,12293,,,,Complete,10349,Mehmet Zeki Çelik,Ground Pass,Right Foot,65.9,62.6,77.3,64.5
02059ac6-284a-4294-9982-06e94109e192,1298,1,29,,67,From Throw In,Turkey,Mehmet Zeki Çelik,Right Back,0.661346,3788765,10349,,,,Complete,30311,İrfan Can Kahveci,Ground Pass,Right Foot,77.3966,72.57265,76.9,58.3
bf0e4fc9-0543-4170-bef0-753fd8200926,1302,1,29,Recovery,68,Regular Play,Switzerland,Granit Xhaka,Left Defensive Midfield,0.454299,3788765,3500,,,,Complete,6983,Remo Freuler,Ground Pass,Right Foot,43.90894,11.37303,40.9,18.8
ee5aa685-36f0-46da-a619-816e36db737a,1309,1,29,Free Kick,69,From Free Kick,Switzerland,Granit Xhaka,Left Defensive Midfield,1.80573,3788765,3500,,,,Complete,8814,Nico Elvedi,Ground Pass,Left Foot,41.583374,19.064327,39.2,54.7
502fede4-abbd-4988-ab3c-679bb62ae57e,1312,1,30,,69,From Free Kick,Switzerland,Nico Elvedi,Right Center Back,1.23509,3788765,8814,,,,Complete,5545,Breel-Donald Embolo,Ground Pass,Right Foot,40.34066,51.180214,54.8,54.3
946ae9a3-3afd-43fb-96f7-83e8549717ea,1316,1,30,,69,From Free Kick,Switzerland,Breel-Donald Embolo,Left Center Forward,0.21132,3788765,5545,,,,Incomplete,5544,Ricardo Iván Rodríguez Araya,Ground Pass,Right Foot,53.17107,35.21331,55.7,30.8
bb66fe54-cd99-4ef2-876e-9d4a6eca18d0,1321,1,30,Throw-in,70,From Throw In,Switzerland,Ricardo Iván Rodríguez Araya,Left Center Back,2.007911,3788765,5544,,,,Incomplete,5543,Haris Seferović,High Pass,,49.7,0.1,83.9,7.9
cdda60a2-5488-4443-8de0-1d50bb5defae,1324,1,30,Recovery,71,Regular Play,Turkey,Merih Demiral,Right Center Back,2.199365,3788765,23558,True,,,Complete,10349,Mehmet Zeki Çelik,Low Pass,,37.52973,62.193836,45.2,75.9
95b1bf81-8590-4399-999c-62deeac54605,1330,1,30,Free Kick,72,From Free Kick,Turkey,İrfan Can Kahveci,Left Center Midfield,1.087808,3788765,30311,,,True,Complete,23558,Merih Demiral,Ground Pass,Left Foot,53.5,74.4,41.1,70.3
7de3c4ec-ea78-4f9b-833d-ea18cf8481bf,1332,1,30,,72,From Free Kick,Turkey,Merih Demiral,Right Center Back,0.629922,3788765,23558,,,,Complete,30311,İrfan Can Kahveci,Ground Pass,Right Foot,42.456215,69.93361,51.0,69.9
