id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
93207672-88f6-4be3-a4cb-369fedfa4355,3896,3,105,Throw-in,186,From Throw In,France,Adrien Rabiot,Left Back,0.883453,3794691,3026,,,,Complete,3961,N''Golo Kanté,Low Pass,,12.118251,-0.07970906,15.6,9.2
74e43aa3-aeb0-4430-af6e-0bd659d05441,3900,3,105,,186,From Throw In,France,N''Golo Kanté,Left Defensive Midfield,0.597177,3794691,3961,True,,,Complete,3026,Adrien Rabiot,Low Pass,Right Foot,15.137135,9.075472,12.4,0.6
05f70d30-475c-46e8-8cca-1399fdf123bf,3903,3,105,,186,From Throw In,France,Adrien Rabiot,Left Back,3.119966,3794691,3026,True,,,Complete,20004,Paul Pogba,High Pass,Right Foot,13.058354,1.5892786,26.2,25.8
04a83a93-afca-44d8-9c0e-041c2cafc078,3906,3,105,,186,From Throw In,France,Paul Pogba,Right Defensive Midfield,1.98062,3794691,20004,True,,,Complete,3961,N''Golo Kanté,Low Pass,,24.771278,25.273666,29.9,13.8
dc02e81e-815e-45de-adad-bc2acdef198f,3910,3,105,,186,From Throw In,France,N''Golo Kanté,Left Defensive Midfield,1.126697,3794691,3961,,,,Complete,3604,Olivier Giroud,High Pass,Right Foot,27.886284,13.063141,42.8,10.3
71d90191-fb79-4071-a152-83b0559b88c7,3913,3,105,,186,From Throw In,France,Olivier Giroud,Right Center Forward,0.716916,3794691,3604,,,,Complete,3961,N''Golo Kanté,Ground Pass,Left Foot,43.035946,13.669626,40.1,2.3
e89b92bb-6534-4ce7-8c06-cbe34303b996,3921,3,105,,187,Regular Play,Switzerland,Christian Fassnacht,Right Midfield,3.043403,3794691,16022,,,,Complete,5550,Yann Sommer,Ground Pass,Left Foot,43.19585,66.74281,11.7,46.4
ab62022e-ecd8-430c-b019-bd45e2153a35,3924,3,105,,187,Regular Play,Switzerland,Yann Sommer,Goalkeeper,1.721664,3794691,5550,,,,Complete,8814,Nico Elvedi,Ground Pass,Left Foot,16.24317,50.524616,34.0,79.5
61fb9e55-e0ac-4a20-9349-8ab757c7597d,3927,3,105,,187,Regular Play,Switzerland,Nico Elvedi,Right Center Back,1.201145,3794691,8814,,,,Incomplete,8219,Admir Mehmedi,High Pass,Right Foot,34.370094,77.78078,50.6,75.8
0dcf7cc0-6c25-4a5f-935e-9241a63fbb24,3929,3,105,Interception,188,Regular Play,France,Kingsley Coman,Left Midfield,1.160589,3794691,8217,,,True,Complete,3026,Adrien Rabiot,High Pass,Head,69.13576,6.436381,56.5,9.2
2d9f267c-554f-4058-9506-b3b19a85d943,3933,3,105,,188,Regular Play,France,Adrien Rabiot,Left Back,0.845958,3794691,3026,,,,Complete,3009,Kylian Mbappé Lottin,Ground Pass,Left Foot,70.6341,32.12632,86.2,38.2
c2665c5b-5201-4e87-924c-916013cc0199,3936,3,105,,188,Regular Play,France,Kylian Mbappé Lottin,Left Center Forward,2.594659,3794691,3009,,,,Complete,3091,Moussa Sissoko,Ground Pass,Right Foot,87.125336,43.1781,109.3,62.9
d8a99f16-52ef-4774-9a9a-919e48893eae,3939,3,105,,188,Regular Play,France,Moussa Sissoko,Right Midfield,0.544502,3794691,3091,,,,Incomplete,3604,Olivier Giroud,Ground Pass,Right Foot,109.91053,62.93771,111.6,43.6
43d59045-9b33-4ff9-bc38-5f04a3172029,3943,3,105,Throw-in,189,From Throw In,France,Benjamin Pavard,Right Back,2.3424,3794691,5476,,,,Complete,5485,Raphaël Varane,Low Pass,,97.8,80.0,70.4,75.6
fc255d0c-33af-46c9-ad14-f98f5d5996ad,3946,3,105,,189,From Throw In,France,Raphaël Varane,Right Center Back,1.284942,3794691,5485,,,,Complete,5476,Benjamin Pavard,Ground Pass,Left Foot,69.168205,68.82947,84.8,76.6
a93de7d2-4aec-4863-9351-f6f01e5f65d7,3950,3,106,,189,From Throw In,France,Benjamin Pavard,Right Back,0.301783,3794691,5476,True,,,Unknown,,,Ground Pass,Left Foot,74.42366,76.549805,61.1,73.5
af61fa77-d2a3-4518-8a1e-0da8920cec14,3955,4,105,Kick Off,190,From Kick Off,Switzerland,Mario Gavranović,Right Center Forward,0.940361,3794691,5834,,,,Complete,3500,Granit Xhaka,Ground Pass,Right Foot,60.11026,41.70224,50.3,35.3
