id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
6a4a85c4-1509-4c9f-8a15-09cc27e25fda,2196,2,47,Throw-in,78,From Throw In,Finland,"Daniel O""Shaughnessy",Left Center Back,1.580791,3788768,38196,,,,,Incomplete,,,High Pass,,109.39969,80.9473,109.9,47.8
2d4ece00-bbf8-4ec5-8fa8-b950bfc4b294,2199,2,47,Recovery,78,From Throw In,Finland,"Daniel O""Shaughnessy",Left Center Back,1.089744,3788768,38196,,,,,Incomplete,,,High Pass,Head,101.62908,74.26669,105.0,60.8
4d54792a-8e00-4331-af18-85b5c3e25377,2202,2,47,Recovery,78,From Throw In,Finland,Tim Sparv,Center Defensive Midfield,1.371471,3788768,24648,True,,,,Complete,15416,Jukka Raitala,Low Pass,,92.2257,59.075382,79.7,57.9
44246ba6-709f-4b61-bc53-2f8ff16d9420,2205,2,47,,78,From Throw In,Finland,Jukka Raitala,Right Wing Back,2.219259,3788768,15416,,,,,Incomplete,9725,Joel Pohjanpalo,High Pass,Left Foot,80.87155,55.809498,87.1,26.4
090b52d4-ad8b-4a4f-bb56-d5cc2cccbd3b,2207,2,47,Recovery,79,Regular Play,Belgium,Leandro Trossard,Right Wing Back,1.575753,3788768,16559,,,,,Complete,23650,Jeremy Doku,Low Pass,Left Foot,30.92898,47.97789,50.1,46.5
3be82bd2-b882-42f1-a6fc-3776111bb6ac,2211,2,47,,79,Regular Play,Belgium,Jeremy Doku,Right Attacking Midfield,1.509598,3788768,23650,True,,,,Complete,3289,Romelu Lukaku Menama,Ground Pass,Left Foot,76.77714,48.6893,87.0,60.1
5fdfabf3-d789-489b-ad4c-e921b303ea88,2219,2,47,,79,Regular Play,Belgium,Romelu Lukaku Menama,Center Forward,1.213171,3788768,3289,True,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Left Foot,95.33208,48.79398,106.5,46.2
01463129-da26-4149-87f8-b622cee73ead,2222,2,47,,79,Regular Play,Belgium,Kevin De Bruyne,Right Defensive Midfield,1.368202,3788768,3089,True,,,,Complete,16559,Leandro Trossard,Ground Pass,Right Foot,106.96486,46.98264,115.2,54.4
f569d4b0-1b3b-4c30-ae09-bef14976f1b7,2224,2,47,,79,Regular Play,Belgium,Leandro Trossard,Right Wing Back,0.669615,3788768,16559,True,,,,Incomplete,3089,Kevin De Bruyne,Ground Pass,Right Foot,114.0036,53.84742,112.4,41.2
64df235e-f2b0-4330-9d99-c49f717886e4,2229,2,47,,79,Regular Play,Belgium,Leandro Trossard,Right Wing Back,0.484563,3788768,16559,,,,,Incomplete,3289,Romelu Lukaku Menama,Low Pass,Right Foot,117.80608,58.744106,116.3,51.8
b7990cfb-bfab-4156-b585-81e98fc8c7ae,2232,2,47,Corner,80,From Corner,Belgium,Kevin De Bruyne,Right Defensive Midfield,1.114992,3788768,3089,,,,,Complete,13116,Jason Denayer,High Pass,Right Foot,120.0,80.0,112.1,46.0
e7d263c0-1bf3-4589-aa06-be1e2c366169,2234,2,48,,80,From Corner,Belgium,Jason Denayer,Right Center Back,0.100918,3788768,13116,,,,,Incomplete,,,Low Pass,Head,111.265854,49.810123,112.4,44.1
5617ab7f-9ad6-433f-bd1f-25e079be2b2f,2237,2,48,Recovery,80,From Corner,Belgium,Nacer Chadli,Left Wing Back,2.577443,3788768,4831,,,,,Complete,3509,Thibaut Courtois,Ground Pass,Left Foot,35.999554,61.410835,14.7,44.6
16210b0a-2082-4742-b1ce-4443f0c9e09b,2240,2,48,,80,From Corner,Belgium,Thibaut Courtois,Goalkeeper,2.214999,3788768,3509,,,,,Complete,5642,Axel Witsel,Ground Pass,Left Foot,19.3,39.8,40.0,16.5
4c9a6778-5743-4857-b56c-0cd8ac1c5065,2243,2,48,,80,From Corner,Belgium,Axel Witsel,Left Defensive Midfield,1.453462,3788768,5642,,,,,Complete,5639,Anga Dedryck Boyata,Ground Pass,Right Foot,55.141544,23.882025,49.2,33.6
d3bedbbf-5112-4fd0-b3c2-ee4c61e09d92,2246,2,48,,80,From Corner,Belgium,Anga Dedryck Boyata,Center Back,1.762527,3788768,5639,,,,,Complete,3089,Kevin De Bruyne,Low Pass,Left Foot,52.28852,40.03528,61.9,65.3
efb5efda-cfd2-4681-ba00-19475137a4af,2249,2,48,,80,From Corner,Belgium,Kevin De Bruyne,Right Defensive Midfield,0.85708,3788768,3089,,,,,Complete,3621,Eden Hazard,Ground Pass,Right Foot,82.004074,54.07485,92.2,51.8
5d519d96-ace6-4325-9c98-849f18900d19,2251,2,48,,80,From Corner,Belgium,Eden Hazard,Left Attacking Midfield,0.924718,3788768,3621,,,,,Complete,23650,Jeremy Doku,Ground Pass,Right Foot,93.22411,55.58516,99.1,55.1
65e74646-4b66-4e5a-b411-6fbb8a581347,2255,2,48,,80,From Corner,Belgium,Jeremy Doku,Right Attacking Midfield,1.547073,3788768,23650,True,,,,Incomplete,3621,Eden Hazard,Ground Pass,Right Foot,100.01328,56.559868,112.4,53.0
4652d249-8ff3-4cd6-aed9-ef8f65e7fcda,2259,2,48,Throw-in,81,From Throw In,Belgium,Leandro Trossard,Right Wing Back,0.861337,3788768,16559,,True,,,Complete,3089,Kevin De Bruyne,Low Pass,,78.7,80.0,75.6,73.6
9ce19b4d-c888-482b-a59a-fc3d50b0695c,2261,2,48,,81,From Throw In,Belgium,Kevin De Bruyne,Right Defensive Midfield,1.067498,3788768,3089,,,,,Complete,16559,Leandro Trossard,Ground Pass,Right Foot,88.22268,69.84481,92.5,78.1
2f8a1298-a090-40c7-8be0-fa6c8662da15,2265,2,48,,81,From Throw In,Belgium,Leandro Trossard,Right Wing Back,1.737719,3788768,16559,True,,,,Complete,13116,Jason Denayer,Ground Pass,Right Foot,91.77983,78.77956,77.7,65.7
dfc470d6-4dbf-4694-bb7c-25ecd4681398,2268,2,48,,81,From Throw In,Belgium,Jason Denayer,Right Center Back,1.701219,3788768,13116,,,,,Complete,6332,Thomas Vermaelen,High Pass,Right Foot,77.13288,63.19265,68.6,29.5
1a1031a9-4400-46a2-80e8-38cf2df86bc6,2271,2,49,,81,From Throw In,Belgium,Thomas Vermaelen,Left Center Back,1.271886,3788768,6332,,,,,Complete,4831,Nacer Chadli,Ground Pass,Left Foot,80.06462,26.09623,94.8,3.2
3aabbcd0-c933-4959-9e1a-7116709774e6,2275,2,49,,81,From Throw In,Belgium,Nacer Chadli,Left Wing Back,1.449166,3788768,4831,,,,,Incomplete,3289,Romelu Lukaku Menama,High Pass,Right Foot,97.96693,20.822817,117.7,40.6
73c92a33-3bcf-4a83-9eee-fba77c2b0081,2278,2,49,,81,From Throw In,Finland,Lukáš Hrádecký,Goalkeeper,3.450512,3788768,8667,,True,,,Incomplete,9725,Joel Pohjanpalo,High Pass,Right Foot,17.8,50.7,84.9,46.4
d8998bd4-95fe-4725-9967-4be476e472f7,2281,2,49,Recovery,81,From Throw In,Belgium,Anga Dedryck Boyata,Center Back,0.961439,3788768,5639,True,,,,Complete,5642,Axel Witsel,Low Pass,,35.284153,32.46542,43.2,30.9
469360fe-15ff-43d2-accd-e9f8b300af6a,2287,2,49,Free Kick,82,From Free Kick,Belgium,Axel Witsel,Left Defensive Midfield,0.910065,3788768,5642,,True,,,Complete,4831,Nacer Chadli,Ground Pass,Right Foot,39.6,25.7,49.7,3.7
c57b2d89-5560-493c-a8d5-d9b6297bbb28,2289,2,49,,82,From Free Kick,Belgium,Nacer Chadli,Left Wing Back,1.521402,3788768,4831,,,,,Complete,6332,Thomas Vermaelen,Ground Pass,Left Foot,50.536263,8.50507,40.8,11.8
a5bd6aa9-2c24-413f-80e8-71ee0d0f4c1a,2291,2,49,,82,From Free Kick,Belgium,Thomas Vermaelen,Left Center Back,1.051614,3788768,6332,,,,,Complete,5642,Axel Witsel,Ground Pass,Left Foot,42.4781,14.486175,49.2,13.4
c8802844-b51a-4d21-a757-fcb04f23d9db,2294,2,49,,82,From Free Kick,Belgium,Axel Witsel,Left Defensive Midfield,1.035123,3788768,5642,,,,,Complete,3621,Eden Hazard,Ground Pass,Right Foot,52.046368,17.782196,59.1,17.3
c67efc27-709f-4bea-b9ea-82ee64168faa,2296,2,49,,82,From Free Kick,Belgium,Eden Hazard,Left Attacking Midfield,0.824026,3788768,3621,,,,,Complete,5642,Axel Witsel,Ground Pass,Left Foot,60.152645,23.08553,56.1,10.4
568dbeb9-d274-470c-94eb-db6dd9c399d2,2299,2,49,,82,From Free Kick,Belgium,Axel Witsel,Left Defensive Midfield,1.164314,3788768,5642,,,,,Complete,4831,Nacer Chadli,Ground Pass,Right Foot,59.111233,11.857698,65.4,1.3
b4c1b2f4-cfb4-4505-9305-0ba4318e0165,2302,2,49,,82,From Free Kick,Belgium,Nacer Chadli,Left Wing Back,1.042336,3788768,4831,,,,,Complete,3621,Eden Hazard,Ground Pass,Right Foot,66.21361,4.3242884,56.1,12.7
caf62fd0-86c0-4302-8b03-4b64012b2c70,2305,2,49,,82,From Free Kick,Belgium,Eden Hazard,Left Attacking Midfield,2.161351,3788768,3621,,,,,Complete,13116,Jason Denayer,Low Pass,Right Foot,57.595013,17.195189,49.1,59.4
15dc8c8d-5255-4a3a-abc9-4877b21ecbf2,2308,2,49,,82,From Free Kick,Belgium,Jason Denayer,Right Center Back,1.346848,3788768,13116,,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Right Foot,54.0,63.9,63.3,70.5
ff3278de-aa04-48a8-966d-ac6c61158584,2311,2,50,,82,From Free Kick,Belgium,Kevin De Bruyne,Right Defensive Midfield,1.651037,3788768,3089,,,,,Complete,5639,Anga Dedryck Boyata,Ground Pass,Right Foot,79.26944,72.354996,66.3,51.3
78aa853e-29fd-4a42-9bf5-2e3db629ee64,2314,2,50,,82,From Free Kick,Belgium,Anga Dedryck Boyata,Center Back,1.672078,3788768,5639,,,,,Complete,6332,Thomas Vermaelen,Ground Pass,Right Foot,67.202545,47.90202,74.8,23.5
97029adb-0a05-4c71-a6b2-18b703622f84,2317,2,50,,82,From Free Kick,Belgium,Thomas Vermaelen,Left Center Back,1.256058,3788768,6332,,,,,Complete,5642,Axel Witsel,Ground Pass,Left Foot,81.03399,22.048609,89.6,12.8
3838dae7-b137-4a13-b065-e02b4a5ad5c9,2320,2,50,,82,From Free Kick,Belgium,Axel Witsel,Left Defensive Midfield,1.028066,3788768,5642,,,,,Complete,3621,Eden Hazard,Ground Pass,Right Foot,92.2,9.5,91.9,19.9
21f03c42-8f57-4508-9fb9-4101006f3efd,2324,2,50,,82,From Free Kick,Belgium,Eden Hazard,Left Attacking Midfield,1.326302,3788768,3621,True,,,,Complete,13116,Jason Denayer,Ground Pass,Right Foot,91.36503,28.454048,91.2,50.2
1e06e935-3139-491d-ab2d-45bcd7671ff8,2329,2,50,Goal Kick,83,From Goal Kick,Finland,Lukáš Hrádecký,Goalkeeper,3.858196,3788768,8667,,,,,Incomplete,9725,Joel Pohjanpalo,High Pass,Right Foot,7.0,44.1,66.1,19.8
79727e0f-a1e5-4adc-92e7-84bc3e0e1a5a,2336,2,50,,83,From Goal Kick,Finland,Jere Juhani Uronen,Left Wing Back,0.700948,3788768,16550,True,,,,Complete,13215,Glen Kamara,Ground Pass,Left Foot,57.6619,7.92682,68.1,11.8
922631a9-5bf2-47ec-975d-32bb9abac595,2364,2,51,,84,Regular Play,Belgium,Jeremy Doku,Right Attacking Midfield,1.208813,3788768,23650,,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Left Foot,113.2928,62.534515,100.9,65.0
6dc2aa84-4b6c-4e4d-b510-74d6d8cd63a0,2367,2,51,,84,Regular Play,Belgium,Kevin De Bruyne,Right Defensive Midfield,3.169096,3788768,3089,,,,,Complete,5642,Axel Witsel,Ground Pass,Right Foot,101.16884,66.47178,90.2,38.1
069001bf-fcef-4f68-bd0f-571e96676bef,2370,2,51,,84,Regular Play,Belgium,Axel Witsel,Left Defensive Midfield,1.307203,3788768,5642,,,,,Complete,4831,Nacer Chadli,Ground Pass,Right Foot,90.26054,33.578964,98.5,18.7
286ece6c-2f4c-49b3-9b8a-46713bafe530,2373,2,51,,84,Regular Play,Belgium,Nacer Chadli,Left Wing Back,1.088063,3788768,4831,,,,,Complete,3621,Eden Hazard,Ground Pass,Right Foot,100.56242,18.7233,103.8,27.3
205d5ece-7089-4040-957a-c7fabe8c5cd1,2379,2,51,,84,Regular Play,Belgium,Eden Hazard,Left Attacking Midfield,0.955825,3788768,3621,,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Right Foot,107.881096,22.272732,98.5,32.2
4bca9238-ac21-49e2-a159-8fd02f421313,2383,2,51,,84,Regular Play,Belgium,Kevin De Bruyne,Right Defensive Midfield,2.250414,3788768,3089,True,,,,Incomplete,3289,Romelu Lukaku Menama,Ground Pass,Right Foot,100.237335,35.035286,108.6,37.1
2ae3e3aa-6ead-4473-98e0-f4d9ce2da025,2389,2,51,,84,Regular Play,Finland,Tim Sparv,Center Defensive Midfield,0.35439,3788768,24648,True,,,,Incomplete,13215,Glen Kamara,Ground Pass,Left Foot,16.82396,44.94469,19.1,41.6
ec88d039-62ed-4515-ab62-f36f6ee8f4a0,2393,2,51,Recovery,84,Regular Play,Finland,Tim Sparv,Center Defensive Midfield,4.853429,3788768,24648,True,,,,Incomplete,9725,Joel Pohjanpalo,Ground Pass,Left Foot,21.5541,36.49142,64.7,59.7
813ce202-9da6-4881-a1f8-f44efa1a2ede,2395,2,51,Recovery,84,Regular Play,Belgium,Anga Dedryck Boyata,Center Back,1.290214,3788768,5639,,,,,Complete,4831,Nacer Chadli,Ground Pass,Left Foot,57.060986,21.228893,73.4,12.4
20b93c78-89d8-4323-9876-72b7ba27f009,2398,2,51,,84,Regular Play,Belgium,Nacer Chadli,Left Wing Back,1.561312,3788768,4831,,,,,Complete,3621,Eden Hazard,Ground Pass,Right Foot,80.1,9.5,88.7,5.8
66181720-5631-4d0e-986d-ad1b0fa17e3f,2401,2,51,,84,Regular Play,Belgium,Eden Hazard,Left Attacking Midfield,0.777125,3788768,3621,,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Right Foot,93.5523,13.930576,91.6,18.5
882844a8-4f93-45a7-bf6f-3d0c2950fb6a,2404,2,51,,84,Regular Play,Belgium,Kevin De Bruyne,Right Defensive Midfield,1.609051,3788768,3089,,,,,Complete,4831,Nacer Chadli,Ground Pass,Right Foot,93.59052,18.115984,104.5,5.1
b419350e-7da3-4e53-8338-20998235975b,2407,2,51,,84,Regular Play,Belgium,Nacer Chadli,Left Wing Back,1.17437,3788768,4831,,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Right Foot,104.1,7.1,90.5,11.6
