id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,possession_team_id,player_id,under_pressure,off_camera,counterpress,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
44cc663a-eeaf-4f5f-9333-d376dfdc2127,60,1,00:00:50.903,0,50,Recovery,6,Belgium,From Counter,Belgium,Axel Witsel,Left Defensive Midfield,0.935789,3795107,782,5642,,,,Complete,3089.0,Kevin De Bruyne,Ground Pass,Right Foot,76.4,17.0,79.2,27.1
bed18bd7-2e63-4f7a-9957-61c7ea1ed8b3,63,1,00:00:52.965,0,52,,6,Belgium,From Counter,Belgium,Kevin De Bruyne,Right Attacking Midfield,0.772437,3795107,782,3089,,,,Complete,3289.0,Romelu Lukaku Menama,Ground Pass,Right Foot,82.4,28.2,101.7,34.6
7bf5098e-e6ed-45e7-a689-4e6deca2d779,70,1,00:01:00.570,1,0,,7,Italy,From Keeper,Italy,Gianluigi Donnarumma,Goalkeeper,2.196858,3795107,914,7036,,,,Complete,8286.0,Leonardo Spinazzola,Low Pass,Keeper Arm,10.3,45.9,32.6,6.2
dde5be08-c757-4601-97be-3be61a49fbdd,73,1,00:01:07.308,1,7,,7,Italy,From Keeper,Italy,Leonardo Spinazzola,Left Back,1.2549,3795107,914,8286,,,,Complete,3166.0,Marco Verratti,Ground Pass,Right Foot,56.1,7.4,48.6,14.5
67834fb6-49cd-4a00-808b-2168dcc0f909,76,1,00:01:08.956,1,8,,7,Italy,From Keeper,Italy,Marco Verratti,Left Center Midfield,1.252557,3795107,914,3166,,,,Complete,7024.0,Jorge Luiz Frello Filho,Ground Pass,Right Foot,48.8,14.9,50.1,29.7
72b757bc-0145-46c9-ae69-c5b65495efa9,79,1,00:01:11.009,1,11,,7,Italy,From Keeper,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,0.873777,3795107,914,7024,,,,Complete,3166.0,Marco Verratti,Ground Pass,Right Foot,50.5,29.3,55.0,20.3
72817d13-b9dd-4707-a40d-f824a1ced62c,82,1,00:01:12.977,1,12,,7,Italy,From Keeper,Italy,Marco Verratti,Left Center Midfield,0.977771,3795107,914,3166,,,,Complete,7037.0,Lorenzo Insigne,Ground Pass,Right Foot,55.9,20.3,70.0,20.1
b3866fb8-9413-4387-9617-04c19b747016,86,1,00:01:14.733,1,14,,7,Italy,From Keeper,Italy,Lorenzo Insigne,Left Wing,1.271676,3795107,914,7037,True,,,Complete,3166.0,Marco Verratti,Ground Pass,Right Foot,65.3,18.3,58.0,18.8
fed1a172-338a-4c5b-ad0a-8a84718296e9,89,1,00:01:16.695,1,16,,7,Italy,From Keeper,Italy,Marco Verratti,Left Center Midfield,2.073137,3795107,914,3166,,,,Complete,7173.0,Leonardo Bonucci,Ground Pass,Right Foot,56.5,19.2,43.9,44.4
f4f7a0f6-d9e3-411d-80a9-680ab752cbb7,92,1,00:01:20.186,1,20,,7,Italy,From Keeper,Italy,Leonardo Bonucci,Right Center Back,1.252723,3795107,914,7173,,,,Complete,8181.0,Nicolò Barella,Ground Pass,Left Foot,49.2,48.3,62.7,69.3
