id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
57b3a340-c61d-4858-bcf8-bafbdc8c1511,5,1,00:00:00.728,0,Kick Off,2,From Kick Off,North Macedonia,Goran Pandev,Right Center Forward,2.053734,3788758,7146,,,,,0.9955411129608022,Complete,30644,Darko Velkovski,Ground Pass,Left Foot,59.942066,38.96837,40.4,42.7,0.65 (13/20)
c4ca6b01-25f5-4066-bc93-93e68d283a5c,8,1,00:00:02.843,0,,2,From Kick Off,North Macedonia,Darko Velkovski,Center Back,1.242408,3788758,30644,,,,,0.9940202822155491,Complete,6782,Enis Bardhi,Ground Pass,Right Foot,38.23268,40.645454,44.3,31.9,0.9 (44/49)
1738d098-7bfa-446f-91f8-9b80aa356637,11,1,00:00:04.791,0,,2,From Kick Off,North Macedonia,Enis Bardhi,Left Center Midfield,1.229064,3788758,6782,,,,,0.9950787850904196,Complete,46906,Visar Musliu,Ground Pass,Right Foot,46.619514,27.11809,40.7,14.6,0.84 (36/43)
0f66af3f-acaf-4e99-b7e3-e43634736375,14,1,00:00:07.370,0,,2,From Kick Off,North Macedonia,Visar Musliu,Left Center Back,2.497163,3788758,46906,,,,,0.9869913550078844,Complete,21397,Stole Dimitrievski,Ground Pass,Right Foot,36.745834,14.69123,7.3,39.2,0.94 (45/48)
1981330b-ed5f-41f7-b138-db6130b8e109,17,1,00:00:11.770,0,,2,From Kick Off,North Macedonia,Stole Dimitrievski,Goalkeeper,1.55164,3788758,21397,,,,,0.980127906471722,Complete,10592,Stefan Ristovski,Ground Pass,Right Foot,8.03618,42.07126,19.7,72.4,0.79 (27/34)
3fed5763-11af-4b9e-b231-38e80c07e5f5,20,1,00:00:14.520,0,,2,From Kick Off,North Macedonia,Stefan Ristovski,Right Center Back,1.492962,3788758,10592,,,,,0.857465952342899,Complete,16740,Boban Nikolov,Ground Pass,Right Foot,21.64245,71.73016,49.5,77.9,0.73 (43/59)
c98a2448-a469-4e66-9dd5-4046e83d267c,23,1,00:00:16.425,0,,2,From Kick Off,North Macedonia,Boban Nikolov,Right Wing Back,0.258892,3788758,16740,,,,,0.004936429194163721,Incomplete,16535,Eljif Elmas,Low Pass,Left Foot,50.19149,79.67689,52.2,77.9,0.75 (18/24)
b9fc61c7-e922-46e5-bebd-0ff2c215e112,26,1,00:00:22.743,0,Throw-in,3,From Throw In,North Macedonia,Boban Nikolov,Right Wing Back,1.640304,3788758,16740,,,,,0.979924721846532,Complete,10592,Stefan Ristovski,Low Pass,,55.2,80.0,41.9,75.9,0.75 (18/24)
18576e11-d81f-42fa-9e88-bd0aed8d5b78,29,1,00:00:25.176,0,,3,From Throw In,North Macedonia,Stefan Ristovski,Right Center Back,1.402011,3788758,10592,,,,,0.9945894421811708,Complete,30644,Darko Velkovski,Ground Pass,Right Foot,42.000854,76.081726,29.6,62.3,0.73 (43/59)
60770842-4873-428f-b492-da8f75e03d1b,31,1,00:00:26.578,0,,3,From Throw In,North Macedonia,Darko Velkovski,Center Back,2.474735,3788758,30644,,,,,0.9895604617671508,Complete,21397,Stole Dimitrievski,Ground Pass,No Touch,28.386856,57.0554,13.2,43.9,0.9 (44/49)
8ac427bd-4079-4eba-945f-ac50ff86153c,34,1,00:00:30.533,0,,3,From Throw In,North Macedonia,Stole Dimitrievski,Goalkeeper,1.435076,3788758,21397,,,,,0.9817524602177606,Complete,30644,Darko Velkovski,Ground Pass,Right Foot,10.7305,43.20808,23.4,64.1,0.79 (27/34)
afb3382a-20dd-4e24-90d0-61f6ce473e59,38,1,00:00:35.035,0,,3,From Throw In,North Macedonia,Darko Velkovski,Center Back,0.862406,3788758,30644,,,,,0.7517596983442867,Incomplete,7146,Goran Pandev,Low Pass,Right Foot,33.96933,67.39944,51.5,64.4,0.9 (44/49)
f4bea20a-ef35-4006-aa52-455022a64b59,41,1,00:00:40.615,0,Throw-in,4,From Throw In,North Macedonia,Stefan Ristovski,Right Center Back,1.257009,3788758,10592,,,,,0.9866310546614312,Complete,30644,Darko Velkovski,Low Pass,,43.4,80.0,29.3,69.9,0.73 (43/59)
