id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
919fce09-3790-4666-85f1-6699c28f9999,996,1,00:21:42.215,21,,41,From Free Kick,Spain,Unai Simón Mendibil,Goalkeeper,1.311542,3795220,11748,,,,0.945858087153659,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,15.058423,38.47631,31.7,45.5,0.88 (51/58)
ceea62b6-5e0b-4e6c-bf06-8cb0fe1f1c3b,998,1,00:21:43.527,21,,41,From Free Kick,Spain,Jorge Resurrección Merodio,Right Center Midfield,1.70226,3795220,5199,,,,0.9760164580257814,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,32.536297,51.53813,31.1,74.4,0.91 (52/57)
eaf04e03-6cb4-40a7-adfc-d3ecbe6fb72e,1001,1,00:21:46.575,21,,41,From Free Kick,Spain,César Azpilicueta Tanco,Right Back,0.947768,3795220,3957,,,,0.9864663594818684,Complete,31953,Eric García Martret,Ground Pass,Right Foot,27.404133,76.17788,8.6,59.6,0.87 (62/71)
78e6b7d4-c5ea-4008-926e-ca4c910c440e,1004,1,00:21:48.738,21,,41,From Free Kick,Spain,Eric García Martret,Right Center Back,1.092765,3795220,31953,,,,0.9893751804751436,Complete,11748,Unai Simón Mendibil,Ground Pass,Right Foot,8.971771,60.14702,4.3,38.6,0.97 (128/132)
d4b65d5b-46a4-4308-8c45-53fa754f8841,1007,1,00:21:54.027,21,,41,From Free Kick,Spain,Unai Simón Mendibil,Goalkeeper,6.890971,3795220,11748,,,,0.03899461158951994,Out,30486,Pedro González López,High Pass,Right Foot,10.228719,41.545113,83.7,0.1,0.88 (51/58)
02942751-b728-4356-a001-9c26e3e851ec,1011,1,00:22:03.798,22,Throw-in,42,From Throw In,Italy,Giovanni Di Lorenzo,Right Back,2.7489,3795220,11514,,,,0.9666026773558524,Complete,7036,Gianluigi Donnarumma,Low Pass,,33.53216,78.87868,11.0,59.2,0.8 (33/41)
388cd768-174f-4a90-b018-181e66cddfa1,1014,1,00:22:08.389,22,,42,From Throw In,Italy,Gianluigi Donnarumma,Goalkeeper,1.930521,3795220,7036,,,,0.9936426978457084,Complete,6954,Giorgio Chiellini,Ground Pass,Left Foot,15.07636,36.076004,14.4,31.6,0.73 (35/48)
528d1bbe-fbe1-4b6c-b75c-041277f18b9b,1017,1,00:22:11.219,22,,42,From Throw In,Italy,Giorgio Chiellini,Left Center Back,0.96132,3795220,6954,,,,0.9319388174176256,Complete,7024,Jorge Luiz Frello Filho,Ground Pass,Left Foot,15.72549,31.963093,28.3,38.7,0.85 (50/59)
e53c02dc-7c1d-4b04-badc-d659a1485629,1020,1,00:22:13.035,22,,42,From Throw In,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,1.410181,3795220,7024,,,,0.9734682909239204,Complete,4355,Emerson Palmieri dos Santos,Ground Pass,Right Foot,27.221596,32.73145,29.1,6.8,0.82 (28/34)
8d14571d-9e21-47ca-b60d-1f55cd83b748,1023,1,00:22:15.253,22,,42,From Throw In,Italy,Emerson Palmieri dos Santos,Left Back,1.471981,3795220,4355,,,,0.9887019252995368,Complete,6954,Giorgio Chiellini,Ground Pass,Left Foot,29.16923,5.365486,14.6,28.2,0.84 (27/32)
