id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
01ba60ab-9028-4365-b276-21ac8f4e78d1,131,1,00:03:13.332,3,Free Kick,7,From Free Kick,Wales,Gareth Frank Bale,Right Wing,3.618005,3788766,6399,,,0.6116277776243675,Complete,34794,Neco Williams,High Pass,Left Foot,74.38095,72.704895,117.0,23.1
b8465680-7ed1-48b1-81c8-cefa91001d6c,133,1,00:03:16.950,3,,7,From Free Kick,Wales,Neco Williams,Left Wing Back,1.032168,3788766,34794,,,0.2781412715611236,Incomplete,10931,Joe Allen,Low Pass,Left Foot,116.704346,23.569702,116.7,38.3
243f6408-606e-417c-94aa-6cf19da43815,137,1,00:03:25.744,3,,8,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,1.317893,3788766,7036,,,0.9985535691806066,Complete,7480,Alessandro Bastoni,Ground Pass,Keeper Arm,13.777433,41.58378,13.6,29.7
f8782256-a5cd-4643-b2c3-4a74a1f2359c,140,1,00:03:28.012,3,,8,Regular Play,Italy,Alessandro Bastoni,Left Center Back,1.256952,3788766,7480,,,0.9894047168148822,Complete,7173,Leonardo Bonucci,Ground Pass,Left Foot,14.4,30.5,16.9,50.1
79a010ed-e3f3-4746-9242-044f3151569d,143,1,00:03:35.190,3,,8,Regular Play,Italy,Leonardo Bonucci,Right Center Back,1.560825,3788766,7173,,,0.9761516992353659,Complete,7002,Rafael Tolói,Ground Pass,Left Foot,37.10289,47.52308,49.4,75.5
e2db06dc-0c09-4e1c-a529-19dbe2d6ef1a,147,1,00:03:39.569,3,,8,Regular Play,Italy,Rafael Tolói,Right Back,0.398156,3788766,7002,True,,0.13690382835048667,Incomplete,7471,Andrea Belotti,Ground Pass,Right Foot,64.79782,78.0629,71.1,68.6
3bbc4017-c118-4b7f-bff0-aeb061d3584d,150,1,00:03:47.741,3,Throw-in,9,From Throw In,Italy,Rafael Tolói,Right Back,2.427217,3788766,7002,,True,0.9661904231351855,Complete,7173,Leonardo Bonucci,Low Pass,,73.4,80.0,45.6,69.6
c4208d10-3758-46b7-8b99-5689e3da8daf,152,1,00:03:51.903,3,,9,From Throw In,Italy,Leonardo Bonucci,Right Center Back,0.735513,3788766,7173,,,0.9921478543569722,Complete,3166,Marco Verratti,Ground Pass,Right Foot,49.616505,61.093052,54.0,51.4
c21fb22e-6d5a-4115-b55c-8f5d30460f82,155,1,00:03:54.664,3,,9,From Throw In,Italy,Marco Verratti,Left Center Midfield,2.008218,3788766,3166,,,0.973416560039252,Complete,7480,Alessandro Bastoni,Ground Pass,Right Foot,56.749588,47.057613,55.2,10.8
98535395-09cd-4469-86f8-82e3492a2646,159,1,00:04:01.635,4,,9,From Throw In,Italy,Alessandro Bastoni,Left Center Back,3.258322,3788766,7480,True,,0.6856785346242593,Out,7777,Federico Bernardeschi,High Pass,Left Foot,69.08778,25.526197,88.5,79.9
