id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
309fc1be-ff89-49f0-b47c-282a3fac2e37,755,1,00:19:15.094,19,,39,From Free Kick,Hungary,Gergő Lovrencsics,Right Wing Back,0.901104,3788752,10794,,,,0.8973671104517689,Complete,16502,László Kleinheisler,Ground Pass,Right Foot,41.325073,77.58876,53.5,64.7,0.68 (26/38)
78d23113-b7ad-497e-898a-a662fcad2ea3,763,1,00:19:20.163,19,,39,From Free Kick,Hungary,Roland Sallai,Right Center Forward,0.130415,3788752,19316,,,,0.07809768194368424,Incomplete,8407,Ádám Szalai,Ground Pass,Right Foot,84.03211,74.61009,87.7,68.6,0.57 (8/14)
fc18d17b-b18d-41c3-8699-2e77639750f0,773,1,00:19:55.862,19,Free Kick,41,From Free Kick,Portugal,Rúben Santos Gato Alves Dias,Left Center Back,1.111636,3788752,5206,,,,0.9787796524887832,Complete,13621,Danilo Luís Hélio Pereira,Ground Pass,Right Foot,18.8246,9.99798,20.3,12.9,0.97 (89/92)
fccfd3bc-202d-4fbc-a64b-fd6a54b9cfa7,775,1,00:19:57.945,19,,41,From Free Kick,Portugal,Danilo Luís Hélio Pereira,Right Center Midfield,1.53721,3788752,13621,,True,,0.9606686940761214,Complete,5209,Raphaël Adelino José Guerreiro,Ground Pass,Right Foot,20.6,12.9,28.2,5.8,0.93 (62/67)
c0f3d098-23ea-4f21-8f52-4102ae8826c6,777,1,00:19:59.482,19,,41,From Free Kick,Portugal,Raphaël Adelino José Guerreiro,Left Back,1.572872,3788752,5209,,,,0.9839977984486328,Complete,5206,Rúben Santos Gato Alves Dias,Ground Pass,Left Foot,43.172455,2.30193,26.8,21.1,0.86 (67/78)
b5b2d5ce-7cf5-4564-a570-0be665f41617,780,1,00:20:05.655,20,,41,From Free Kick,Portugal,Rúben Santos Gato Alves Dias,Left Center Back,1.385819,3788752,5206,,,,0.977782773160723,Complete,5209,Raphaël Adelino José Guerreiro,Ground Pass,Right Foot,42.629654,29.138954,49.4,9.3,0.97 (89/92)
616ebcb6-19b2-4cf5-ac80-893f1fcc2aef,783,1,00:20:10.613,20,,41,From Free Kick,Portugal,Raphaël Adelino José Guerreiro,Left Back,4.91243,3788752,5209,,,,0.2739547357602907,Incomplete,5204,Bruno Miguel Borges Fernandes,High Pass,Left Foot,58.803284,7.51918,115.5,36.1,0.86 (67/78)
17f56d13-0f9b-468d-b1f4-62d1748bc650,787,1,00:20:19.189,20,,42,Regular Play,Hungary,Péter Gulácsi,Goalkeeper,1.499024,3788752,8524,,,,0.9954424178236342,Complete,46376,Attila Szalai,Ground Pass,Right Foot,2.6,34.2,5.3,23.4,0.87 (26/30)
f73410cc-672e-4e75-949f-124063912c48,790,1,00:20:25.329,20,,42,Regular Play,Hungary,Attila Szalai,Left Center Back,1.594571,3788752,46376,,,,0.9351482194682686,Unknown,,,Ground Pass,Left Foot,18.565453,27.240189,48.3,27.8,0.74 (40/54)
d9fbd89c-584a-4744-9c9f-2c5282e03da1,794,1,00:20:40.281,20,Free Kick,43,From Free Kick,Hungary,Attila Szalai,Left Center Back,1.906785,3788752,46376,,True,,0.9982119832551674,Complete,8509,Willi Orban,Ground Pass,Left Foot,41.2,21.4,35.3,36.6,0.74 (40/54)
