id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
2f37e913-6f86-44fa-8f6b-e15984efc8ba,1455,1,36,,98,From Throw In,England,Bukayo Saka,Right Wing,0.48158,3794688,22084,,True,,,0.9053318523453188,Complete,3308,Kieran Trippier,Ground Pass,Left Foot,107.4,73.3,102.7,78.1
f65978ec-efbd-4b42-87ec-fd71eacad57f,1457,1,36,,98,From Throw In,England,Kieran Trippier,Right Wing Back,1.191502,3794688,3308,,,,,0.9076986166388874,Complete,4706,Kalvin Phillips,Ground Pass,Right Foot,103.8395,80.365776,108.2,60.5
f0de3f89-af52-49f5-8679-7e094cff6bd6,1461,1,36,,98,From Throw In,England,Kalvin Phillips,Right Defensive Midfield,1.543828,3794688,4706,,,,,0.9128337601831124,Incomplete,22084,Bukayo Saka,Ground Pass,Right Foot,111.509705,61.57738,104.1,50.0
b700508e-d9ed-4d36-bfa7-0a5a440c792f,1470,1,37,Throw-in,100,From Throw In,Germany,Robin Gosens,Left Wing Back,5.351627,3794688,6985,,True,,,0.9537432827259036,Complete,3167,Antonio Rüdiger,Low Pass,,64.1,0.1,46.5,4.2
bd8b4fd6-0c37-4f1b-9c00-d2fc5dc8c7f3,1472,1,37,,100,From Throw In,Germany,Antonio Rüdiger,Left Center Back,1.664169,3794688,3167,,,,,0.9885042634451264,Complete,5572,Mats Hummels,Ground Pass,Right Foot,39.978283,21.344786,36.9,41.3
6de3d434-229d-4d9f-9bc8-3f9fbc24294b,1475,1,37,,100,From Throw In,Germany,Mats Hummels,Center Back,1.291597,3794688,5572,,,,,0.986048971883026,Complete,3167,Antonio Rüdiger,Ground Pass,Right Foot,37.23128,45.203697,38.7,24.1
46baac62-d864-4dc7-9344-0c3e00f72c36,1478,1,37,,100,From Throw In,Germany,Antonio Rüdiger,Left Center Back,1.649098,3794688,3167,,,,,0.9349115252416343,Complete,5574,Toni Kroos,Ground Pass,Right Foot,41.28097,29.310608,53.0,4.7
c422aad5-cbe8-413e-94c5-7b5acb52049d,1481,1,37,,100,From Throw In,Germany,Toni Kroos,Right Defensive Midfield,1.183301,3794688,5574,,,,,0.9083099574894016,Complete,6985,Robin Gosens,Ground Pass,Right Foot,50.949654,8.31938,63.4,2.8
3381f0ba-4336-4867-ae47-f1764a6adefa,1485,1,37,,100,From Throw In,Germany,Robin Gosens,Left Wing Back,0.816721,3794688,6985,True,,,,0.9852139127128281,Complete,5574,Toni Kroos,Ground Pass,Left Foot,59.796413,3.9524803,43.8,2.5
15bc89fa-7a8c-4b9a-9535-9542a3792014,1489,1,37,,100,From Throw In,Germany,Toni Kroos,Right Defensive Midfield,1.475703,3794688,5574,True,,,,0.7079125000218548,Complete,6324,Leon Goretzka,Low Pass,Right Foot,43.001118,4.0172415,47.9,24.1
dd763aff-d4bf-41db-b618-27995c672126,1492,1,37,,100,From Throw In,Germany,Leon Goretzka,Left Defensive Midfield,2.152065,3794688,6324,True,,,,0.8509699684913196,Complete,5572,Mats Hummels,High Pass,Right Foot,48.152397,26.302528,35.3,35.4
21929cd6-a4b9-48a9-b990-4d48ae19460d,1496,1,37,,100,From Throw In,Germany,Mats Hummels,Center Back,2.119736,3794688,5572,True,,,,0.29608316920905603,Pass Offside,5557,Timo Werner,High Pass,,38.36998,40.388153,60.9,31.2
65dc896c-dffc-4263-ade2-6469a3725bf7,1498,1,38,Free Kick,101,From Free Kick,England,Kalvin Phillips,Right Defensive Midfield,3.445578,3794688,4706,,True,,,0.942297621860256,Complete,3943,Declan Rice,Ground Pass,Right Foot,56.6,47.2,65.9,39.3
e472cfda-eb72-4c8c-8e15-de088651508f,1500,1,38,,101,From Free Kick,England,Declan Rice,Left Defensive Midfield,1.323059,3794688,3943,,True,,,0.9847950660289134,Complete,3233,Raheem Sterling,Ground Pass,Right Foot,65.7,38.2,67.1,12.9
90c58c8e-555e-4e94-a955-6af4379fee34,1512,1,38,Recovery,101,From Free Kick,Germany,Thomas Müller,Left Wing,0.504743,3794688,5562,True,,,,0.7439069461123057,Incomplete,6324,Leon Goretzka,Ground Pass,Right Foot,58.259766,66.36739,64.8,64.1
b678916d-297e-48bc-aa56-002a57fe99fe,1520,1,38,,101,From Free Kick,Germany,Leon Goretzka,Left Defensive Midfield,1.480223,3794688,6324,True,,,,0.7829322083284816,Complete,8966,Kai Havertz,Ground Pass,Right Foot,70.18707,52.98025,88.5,49.2
b89541bc-0437-433a-a541-c46d89114c4e,1528,1,39,Free Kick,102,From Free Kick,England,Jordan Pickford,Goalkeeper,3.722733,3794688,3468,,,,,0.3676573277457815,Complete,10955,Harry Kane,High Pass,Left Foot,19.2,30.6,94.8,29.2
dc409ddc-427f-4a95-b360-e234efec5fd4,1531,1,39,,102,From Free Kick,England,Harry Kane,Center Forward,1.476678,3794688,10955,True,,,,0.5093227908191233,Complete,3233,Raheem Sterling,High Pass,,90.726746,26.789738,96.6,40.3
3f739c8e-93fe-455d-a202-f9ecaef3f9d9,1533,1,39,,102,From Free Kick,England,Raheem Sterling,Left Wing,0.038604,3794688,3233,True,,,,0.0010479919872711694,Incomplete,,,Low Pass,,93.9635,34.72158,96.8,40.3
d2f15faf-efad-4c6a-ab80-a6dbfcc6d2ca,1536,1,39,Recovery,103,Regular Play,Germany,Toni Kroos,Right Defensive Midfield,3.05582,3794688,5574,,,,,0.978873579864198,Complete,6985,Robin Gosens,Low Pass,Left Foot,25.7,41.6,21.6,22.7
79b101d6-f826-49a1-86ca-73d6d11f1195,1539,1,39,,103,Regular Play,Germany,Robin Gosens,Left Wing Back,1.234917,3794688,6985,,,,,0.9416350068382529,Complete,5574,Toni Kroos,Ground Pass,Left Foot,23.044476,22.226236,34.5,28.2
6db599b9-040f-4fe5-b2af-f21ba3e78ce7,1542,1,39,,103,Regular Play,Germany,Toni Kroos,Right Defensive Midfield,0.875924,3794688,5574,,,,,0.9681477675955288,Complete,6324,Leon Goretzka,Ground Pass,Right Foot,53.716022,45.937042,63.1,52.3
728234a5-c1ab-4d30-9e95-27a1916d0fdc,1545,1,39,,103,Regular Play,Germany,Leon Goretzka,Left Defensive Midfield,1.193666,3794688,6324,,,,,0.9848285670357524,Complete,5579,Joshua Kimmich,Ground Pass,Right Foot,62.98071,55.64411,62.3,71.7
