id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
6ddd052d-fe51-4e91-b074-1e085dc228ea,548,1,15,Recovery,31,From Free Kick,Czech Republic,Vladimír Coufal,Right Back,0.850041,3788760,16570,,True,,0.9697862805243052,Complete,8095,Jakub Jankto,Ground Pass,Left Foot,25.355946,47.49575,30.8,33.2
c9bd06d1-0539-4e8f-9969-2062fd113759,552,1,15,,31,From Free Kick,Czech Republic,Jakub Jankto,Left Wing,1.901834,3788760,8095,,True,,0.5110103961035308,Incomplete,4870,Tomáš Souček,Low Pass,Right Foot,30.760014,32.37945,43.0,31.5
53bf14a8-8a06-47b6-9150-7a0e238fc72b,556,1,16,,31,From Free Kick,Croatia,Mateo Kovačić,Left Center Midfield,1.740276,3788760,5456,,,,0.9587954042594024,Complete,5461,Šime Vrsaljko,Ground Pass,Right Foot,77.95593,52.938824,86.7,74.5
5fd2e6a2-34f9-4125-89c6-b3def7ccf686,559,1,16,,31,From Free Kick,Croatia,Šime Vrsaljko,Right Back,0.828063,3788760,5461,,,,0.9080265388038382,Complete,5474,Ivan Perišić,Ground Pass,Right Foot,89.18065,72.183266,99.2,77.5
37a453cc-f6eb-4c70-991f-3bec47da9257,562,1,16,,31,From Free Kick,Croatia,Ivan Perišić,Right Wing,1.461288,3788760,5474,,,,0.975088169824848,Complete,5461,Šime Vrsaljko,Ground Pass,Right Foot,100.92792,76.2647,89.9,74.3
74849f6b-39ba-4c5e-beaa-d2feddb848d3,565,1,16,,31,From Free Kick,Croatia,Šime Vrsaljko,Right Back,0.802558,3788760,5461,,,,0.9887905104341936,Complete,5456,Mateo Kovačić,Ground Pass,Right Foot,89.30421,71.99771,82.0,70.4
5351f04b-5f81-4b9d-87dd-6bd76c1459bd,568,1,16,,31,From Free Kick,Croatia,Mateo Kovačić,Left Center Midfield,0.767101,3788760,5456,,,,0.9933424852012916,Complete,5463,Luka Modrić,Ground Pass,Right Foot,79.594215,63.70469,78.6,61.3
fd0d6b78-fdce-4abc-a3ab-008def10fd6e,571,1,16,,31,From Free Kick,Croatia,Luka Modrić,Right Center Midfield,1.168466,3788760,5463,,,,0.995883990901103,Complete,5456,Mateo Kovačić,Ground Pass,Right Foot,79.16918,56.14082,70.9,63.9
6d71fabc-2f57-485d-a451-9aee1144ebad,574,1,16,,31,From Free Kick,Croatia,Mateo Kovačić,Left Center Midfield,0.816033,3788760,5456,,,,0.9915261252571572,Complete,3471,Dejan Lovren,Ground Pass,Right Foot,68.527725,53.473366,59.0,47.3
a7a1c678-983e-45a0-a9dd-dbc8d15624cd,577,1,16,,31,From Free Kick,Croatia,Dejan Lovren,Right Center Back,1.477927,3788760,3471,,,,0.9850798136236496,Complete,5468,Domagoj Vida,Ground Pass,Right Foot,59.324524,47.00415,64.2,27.2
