id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
32265cf1-77cd-415f-90c4-5443f58c6e1d,5,1,00:00:00.218,0,Kick Off,2,From Kick Off,Denmark,Pierre-Emile Højbjerg,Right Defensive Midfield,1.567045,3795221,3570,,,,,0.9973275538456448,Complete,5534,Simon Thorup Kjær,Ground Pass,Right Foot,60.073566,40.493652,37.2,33.7,0.79 (53/67)
fad404a3-bfd2-4739-b319-b3e55994e7d3,8,1,00:00:03.247,0,,2,From Kick Off,Denmark,Simon Thorup Kjær,Center Back,3.099241,3795221,5534,,,,,0.3277953573483706,Incomplete,6302,Kasper Dolberg,High Pass,Right Foot,38.906494,43.117615,90.8,63.6,0.94 (58/62)
37ef8fbe-2b4c-4e42-b429-c53851369785,11,1,00:00:06.346,0,Recovery,3,Regular Play,England,Harry Maguire,Left Center Back,0.865131,3795221,3336,True,,,,0.8302763551285753,Complete,3233,Raheem Sterling,Low Pass,,30.7725,16.051792,45.4,16.3,0.91 (86/94)
f2589931-78ef-49cd-b321-54f0b122ad1c,19,1,00:00:09.033,0,,3,Regular Play,England,Raheem Sterling,Left Wing,0.787763,3795221,3233,True,,,,0.9066720325728574,Complete,10955,Harry Kane,Ground Pass,Right Foot,54.75364,19.66636,65.0,23.4,0.88 (43/49)
e599fe83-892b-4092-b373-9b6fea50c527,24,1,00:00:27.178,0,Free Kick,4,From Free Kick,England,Declan Rice,Left Defensive Midfield,1.091172,3795221,3943,,True,,,0.998444396659774,Complete,3336,Harry Maguire,Ground Pass,Right Foot,64.7,22.9,57.5,27.5,0.97 (58/60)
898f8f3e-85e7-4a4d-a753-679b44afc587,26,1,00:00:31.049,0,,4,From Free Kick,England,Harry Maguire,Left Center Back,1.04468,3795221,3336,,,,,0.9971137720236669,Complete,3244,John Stones,Ground Pass,Right Foot,57.30961,28.19686,51.5,45.5,0.91 (86/94)
6c1ea70d-0daa-48d1-9943-9d6e5ce1d6d5,28,1,00:00:32.094,0,,4,From Free Kick,England,John Stones,Right Center Back,2.891242,3795221,3244,,,,,0.9852101299896902,Complete,3468,Jordan Pickford,Ground Pass,Right Foot,51.96797,42.7067,17.2,36.6,0.92 (74/80)
8442dbaa-438c-4977-806f-52e84d871226,31,1,00:00:37.070,0,,4,From Free Kick,England,Jordan Pickford,Goalkeeper,3.714359,3795221,3468,,,,,0.09598207368532162,Incomplete,3233,Raheem Sterling,High Pass,Left Foot,19.680954,29.548073,100.1,24.9,0.49 (19/39)
3abd67bb-7f6f-41e6-ad3a-72b25950417d,33,1,00:00:40.784,0,Recovery,5,Regular Play,Denmark,Jens Stryger Larsen,Right Wing Back,2.04334,3795221,5524,,,,,0.9625138866618712,Complete,3959,Andreas Christensen,Low Pass,Right Foot,22.0567,59.00338,20.8,49.8,0.66 (23/35)
a1b685e9-e460-429b-9ba1-a351661bac93,36,1,00:00:42.947,0,,5,Regular Play,Denmark,Andreas Christensen,Right Center Back,1.105193,3795221,3959,,,,,0.8716696757324173,Complete,3570,Pierre-Emile Højbjerg,Low Pass,Right Foot,21.106186,55.758644,33.7,54.9,0.89 (32/36)
