id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
455f4927-6cd1-4650-99d5-4560bedcfe52,2176,2,00:12:25.924,57,,118,Regular Play,Finland,Glen Kamara,Left Center Midfield,0.710042,3788742,13215,,,,,0.9932200122332644,Complete,24648,Tim Sparv,Ground Pass,Left Foot,41.988842,66.14988,37.2,51.2
bb48c8e4-fe37-441c-9e26-a5906d799654,2179,2,00:12:26.674,57,,118,Regular Play,Finland,Tim Sparv,Center Defensive Midfield,1.361109,3788742,24648,,,,,0.8768716529734656,Complete,24321,Robin Lod,Ground Pass,Right Foot,38.065052,55.05833,55.8,49.0
e3ef211c-c8ce-46a8-858c-64e93baff34c,2183,2,00:12:30.089,57,,118,Regular Play,Finland,Robin Lod,Right Center Midfield,2.961631,3788742,24321,,,,,0.8162266954639232,Out,15416,Jukka Raitala,Ground Pass,Right Foot,58.669895,54.475525,97.9,80.0
9a1284a7-18c2-4e33-bb4b-9555fafcf9f6,2185,2,00:12:48.360,57,Throw-in,119,From Throw In,Denmark,Joakim Mæhle,Left Back,0.941284,3788742,16554,,,,,0.9802436232130748,Complete,3570,Pierre-Emile Højbjerg,Low Pass,,29.5,0.1,29.5,12.5
8373b27a-2c66-4a08-95e9-d8ce8898718c,2188,2,00:12:49.302,57,,119,From Throw In,Denmark,Pierre-Emile Højbjerg,Center Defensive Midfield,0.695684,3788742,3570,True,,,,0.9713834565330474,Complete,16554,Joakim Mæhle,Ground Pass,Right Foot,29.5,12.5,29.5,4.2
73eaf94f-699a-4e0f-87a2-c0bb651b3e56,2190,2,00:12:49.997,57,,119,From Throw In,Denmark,Joakim Mæhle,Left Back,1.772982,3788742,16554,True,,,,0.2956260214948762,Complete,4447,Martin Braithwaite Christensen,High Pass,Right Foot,29.5,4.2,53.8,9.2
d18df5a9-3592-4a49-b643-1f11774e2ef6,2194,2,00:12:51.782,57,,119,From Throw In,Denmark,Martin Braithwaite Christensen,Left Wing,0.779438,3788742,4447,True,,,,0.9752129695467292,Complete,21261,Jonas Older Wind,Ground Pass,Left Foot,54.37068,8.50821,49.5,12.5
481393a5-1467-4fb7-a84e-355f3856a7a1,2197,2,00:12:52.562,57,,119,From Throw In,Denmark,Jonas Older Wind,Center Forward,1.457791,3788742,21261,True,,,,0.7943495215154344,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Right Foot,51.81959,11.62183,57.0,4.3
6454f88a-86c6-48cf-9fd0-2ca40aefe688,2209,2,00:13:03.955,58,,119,From Throw In,Denmark,Martin Braithwaite Christensen,Left Wing,0.829584,3788742,4447,,,,,0.17451538226800709,Complete,21261,Jonas Older Wind,Low Pass,Left Foot,116.099976,20.321777,112.7,36.6
70cedba0-9359-4b8b-bede-c5d0c565a959,2214,2,00:13:07.757,58,Recovery,119,From Throw In,Finland,"Daniel O""Shaughnessy",Left Center Back,0.830686,3788742,38196,,,,,0.9859027274222392,Complete,13215,Glen Kamara,Ground Pass,Left Foot,7.262514,49.3916,11.0,50.2
