id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
b9685610-63b8-4101-b81d-349b82c1f058,5,1,00:00:00.765,0,Kick Off,2,From Kick Off,Czech Republic,Patrik Schick,Center Forward,1.659314,3794690,7044,,,,0.9952207691455331,Complete,13197,Tomáš Kalas,Ground Pass,Left Foot,60.329445,40.619717,37.7,27.7
3446dcad-6ead-4ee0-8412-3eb67fdb3d59,8,1,00:00:03.353,0,,2,From Kick Off,Czech Republic,Tomáš Kalas,Left Center Back,2.870405,3794690,13197,,,,0.4348783659536609,Incomplete,7044,Patrik Schick,High Pass,Right Foot,38.08855,35.174217,93.0,53.3
c0a004ab-d907-4eaf-8422-8e046cb55905,11,1,00:00:08.271,0,Recovery,2,From Kick Off,Czech Republic,Vladimír Coufal,Right Back,1.557076,3794690,16570,True,,,0.4765690592888749,Incomplete,7044,Patrik Schick,High Pass,,68.60848,55.732624,82.0,54.0
c198cbfd-4ba1-4b8e-8b07-e237029b959e,14,1,00:00:09.828,0,Recovery,3,Regular Play,Netherlands,Marten de Roon,Right Defensive Midfield,1.58908,3794690,6994,,,,0.9509496898746748,Complete,3321,Patrick van Aanholt,Low Pass,Head,42.189804,25.2748,41.1,8.0
71ef7bab-6862-4b3d-a312-86a79d3f7e43,17,1,00:00:12.711,0,,3,Regular Play,Netherlands,Patrick van Aanholt,Left Wing Back,2.517073,3794690,3321,,,,0.2747038935073901,Complete,15582,Donyell Malen,High Pass,Left Foot,40.758934,4.45759,85.4,7.0
005873f6-6c7b-43f6-a714-7c5ea0b2ad4c,20,1,00:00:16.550,0,,3,Regular Play,Netherlands,Donyell Malen,Left Center Forward,2.874059,3794690,15582,,,,0.5794588441779399,Incomplete,2988,Memphis Depay,Ground Pass,Right Foot,85.61311,3.68347,105.0,9.6
c7503ec8-b1a2-4c8e-93cf-099d2f208354,23,1,00:00:21.458,0,Recovery,3,Regular Play,Netherlands,Patrick van Aanholt,Left Wing Back,0.463373,3794690,3321,,,,0.39231458360744376,Incomplete,3567,Georginio Wijnaldum,Low Pass,Left Foot,69.92206,5.80073,77.6,14.1
2ac1d157-e56f-4b4e-8d28-0f3047c2a242,26,1,00:00:23.304,0,Recovery,3,Regular Play,Czech Republic,Tomáš Holeš,Center Defensive Midfield,1.33125,3794690,16469,,,,0.4302243999272852,Incomplete,4870,Tomáš Souček,High Pass,Head,38.22143,57.57455,49.6,58.2
2d8d3e47-1322-41fd-a73f-a1acba3aaafc,28,1,00:00:24.635,0,Recovery,3,Regular Play,Netherlands,Marten de Roon,Right Defensive Midfield,1.526041,3794690,6994,True,,,0.6215311159544715,Incomplete,8118,Frenkie de Jong,Low Pass,,70.69994,19.777157,81.4,13.6
cfb9f59f-c33d-422c-ace8-b1f6f1d0cee8,34,1,00:00:26.650,0,,3,Regular Play,Czech Republic,Vladimír Coufal,Right Back,1.592143,3794690,16570,,,,0.5433226643232926,Incomplete,7044,Patrik Schick,High Pass,Left Foot,39.29396,64.3835,63.2,54.7
043d8464-8337-4e42-bde8-62aa31d8d699,39,1,00:00:30.268,0,Recovery,3,Regular Play,Czech Republic,Tomáš Holeš,Center Defensive Midfield,1.912917,3794690,16469,True,,,0.7066945141742097,Incomplete,16472,Lukáš Masopust,Low Pass,Right Foot,52.280804,57.051186,63.5,63.0
a8d575a3-8fd2-47f9-bf5c-097bb06319fa,41,1,00:00:32.181,0,Recovery,3,Regular Play,Netherlands,Patrick van Aanholt,Left Wing Back,0.738063,3794690,3321,,,,0.6961248849865597,Complete,8118,Frenkie de Jong,Low Pass,Left Foot,57.856884,15.64551,72.8,14.7
bb8eba47-38c7-4a4b-884b-3b68fb16c566,44,1,00:00:33.994,0,,3,Regular Play,Netherlands,Frenkie de Jong,Left Defensive Midfield,1.001839,3794690,8118,,,,0.9330506930186576,Complete,2988,Memphis Depay,Ground Pass,Left Foot,71.29687,13.20587,77.3,4.4
06fd566a-f31e-4235-a831-3c3ccc1c48e0,47,1,00:00:35.625,0,,3,Regular Play,Netherlands,Memphis Depay,Right Center Forward,2.671953,3794690,2988,,,,0.488774977216139,Complete,15582,Donyell Malen,Ground Pass,Left Foot,78.76856,1.8879,104.3,8.5
e6118d16-577c-4a17-83ef-9a76ff70de02,50,1,00:00:40.917,0,,3,Regular Play,Netherlands,Donyell Malen,Left Center Forward,1.982314,3794690,15582,,,,0.28020036509249674,Out,8125,Denzel Dumfries,High Pass,Right Foot,107.6,10.2,120.0,53.9
f4387424-0302-4924-b282-32fee6bebc98,52,1,00:00:57.184,0,Goal Kick,4,From Goal Kick,Czech Republic,Tomáš Vaclík,Goalkeeper,1.416508,3794690,11541,,True,,0.9924956990721564,Complete,30328,Ondrej Celustka,Ground Pass,Right Foot,6.0,44.0,13.7,71.1
abfd30a5-1725-43c9-8a28-912c89551bff,54,1,00:01:00.091,1,,4,From Goal Kick,Czech Republic,Ondrej Celustka,Right Center Back,1.921911,3794690,30328,,True,,0.9601495885598712,Complete,16570,Vladimír Coufal,Ground Pass,Right Foot,13.3,69.2,23.5,76.1
c9a7e76b-9c55-4ae5-bbd9-b841b3c9b8d7,56,1,00:01:03.056,1,,4,From Goal Kick,Czech Republic,Vladimír Coufal,Right Back,0.773368,3794690,16570,,,,0.9334874807970572,Complete,16472,Lukáš Masopust,Ground Pass,Right Foot,23.613974,77.60239,35.0,68.0
e9549f03-7b8c-44cb-a76e-db0f6379f186,59,1,00:01:05.809,1,,4,From Goal Kick,Czech Republic,Lukáš Masopust,Right Midfield,2.731464,3794690,16472,,,,0.8471747704446072,Complete,9397,Pavel Kadeřábek,High Pass,Left Foot,32.29361,58.636684,36.0,6.2
bf8c1f03-e15e-43a2-8315-0315eb7b4bff,62,1,00:01:11.070,1,,4,From Goal Kick,Czech Republic,Pavel Kadeřábek,Left Back,1.440547,3794690,9397,,,,0.9920536247359244,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,36.35227,15.527046,22.5,16.7
