id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
fd52c383-22ce-4596-8f76-40867da19cdb,5,1,0,Kick Off,2,From Kick Off,Ukraine,Roman Yaremchuk,Left Center Forward,0.840061,3794692,23649,,,,,Complete,11000,Taras Stepanenko,Ground Pass,Left Foot,60.31197,40.06297,49.2,42.4
e12c6e73-a8d6-4d23-aaad-efe01540c225,8,1,0,,2,From Kick Off,Ukraine,Taras Stepanenko,Center Defensive Midfield,1.270738,3794692,11000,,,,,Complete,18617,Mykola Matviyenko,Ground Pass,Left Foot,47.80366,39.458492,27.5,42.6
b3389fbb-2a56-49c6-8cb2-ee3490cc3404,11,1,0,,2,From Kick Off,Ukraine,Mykola Matviyenko,Left Center Back,0.808598,3794692,18617,,,,,Complete,18618,Sergey Krivtsov,Ground Pass,Left Foot,28.703,32.666035,29.0,54.1
581d0cb9-78c1-4553-a4c1-96eabcbbb1f8,14,1,0,,2,From Kick Off,Ukraine,Sergey Krivtsov,Center Back,1.016304,3794692,18618,,,,,Complete,18617,Mykola Matviyenko,Ground Pass,Right Foot,34.088234,41.808926,35.9,29.6
1bd8eab7-6a73-46fc-a89b-7588cadd2cd8,17,1,0,,2,From Kick Off,Ukraine,Mykola Matviyenko,Left Center Back,1.072834,3794692,18617,,,,,Complete,18618,Sergey Krivtsov,Ground Pass,Left Foot,39.9021,23.234234,35.2,40.5
1efa7fbc-cb91-410b-b9dc-4e4104b87954,20,1,0,,2,From Kick Off,Ukraine,Sergey Krivtsov,Center Back,1.317383,3794692,18618,,,,,Complete,39136,Illia Zabarnyi,Ground Pass,Left Foot,35.67377,40.91992,36.3,62.9
406cb565-ddad-4504-960e-ca8b1b91906c,23,1,0,,2,From Kick Off,Ukraine,Illia Zabarnyi,Right Center Back,0.961423,3794692,39136,,,,,Complete,18618,Sergey Krivtsov,Ground Pass,Right Foot,41.3,61.2,34.4,51.3
022b8fe8-cc70-4d7b-9962-1f1d3357470d,26,1,0,,2,From Kick Off,Ukraine,Sergey Krivtsov,Center Back,1.493903,3794692,18618,,,,,Complete,18617,Mykola Matviyenko,Ground Pass,Right Foot,40.32716,42.620083,44.6,19.6
5af650b7-e8e5-445a-9989-2b07032d90a2,30,1,0,,2,From Kick Off,Ukraine,Mykola Matviyenko,Left Center Back,0.636744,3794692,18617,,,,,Complete,21294,Mykola Shaparenko,Ground Pass,Left Foot,54.84997,13.138084,68.6,13.8
215d853b-7bc5-47e6-aa20-d41e740cec49,34,1,0,,2,From Kick Off,Ukraine,Mykola Shaparenko,Left Center Midfield,1.967061,3794692,21294,,,,,Complete,18617,Mykola Matviyenko,Ground Pass,Right Foot,62.271774,6.776886,47.6,12.4
86a88c11-d2d9-4987-a660-0bccb5f993e9,36,1,0,,2,From Kick Off,Ukraine,Mykola Matviyenko,Left Center Back,1.717382,3794692,18617,,,,,Complete,18618,Sergey Krivtsov,Ground Pass,Left Foot,46.393555,10.995804,33.0,22.3
81a894b9-b041-44e8-b5d0-30da01806d3b,39,1,0,,2,From Kick Off,Ukraine,Sergey Krivtsov,Center Back,1.202154,3794692,18618,,,,,Complete,39136,Illia Zabarnyi,Ground Pass,Right Foot,32.89085,33.37489,35.2,60.1
91e3c41d-1365-4bbb-b21b-f9c8e533b82b,42,1,0,,2,From Kick Off,Ukraine,Illia Zabarnyi,Right Center Back,2.660946,3794692,39136,,,,,Complete,18617,Mykola Matviyenko,Ground Pass,Right Foot,48.28123,57.760944,50.4,23.5
bb6fe91f-4e80-4729-9732-541ccd9fab7e,45,1,0,,2,From Kick Off,Ukraine,Mykola Matviyenko,Left Center Back,0.813714,3794692,18617,,,,,Complete,21294,Mykola Shaparenko,Ground Pass,Left Foot,53.34853,20.96911,53.7,11.0
2f541ee9-17e4-4f18-b0fa-0f556e8e4d4e,49,1,0,,2,From Kick Off,Ukraine,Mykola Shaparenko,Left Center Midfield,1.814798,3794692,21294,,,,,Complete,18618,Sergey Krivtsov,Ground Pass,Right Foot,51.3259,10.94275,38.5,32.0
