id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
c75ab523-30b3-472f-a791-0b1fc953d800,3021,2,82,,124,Regular Play,England,Declan Rice,Left Defensive Midfield,1.77371,3788759,3943,,,,,0.9674580642734978,Complete,9550,Reece James,Ground Pass,Right Foot,71.124794,44.47619,84.9,71.3
026d93aa-8f06-4150-9bc9-797946a135ee,3024,2,82,,124,Regular Play,England,Reece James,Right Back,1.698968,3788759,9550,,,,,0.9864872535198209,Complete,3943,Declan Rice,Ground Pass,Right Foot,89.72795,72.77091,77.4,68.6
d4f3553f-9c8a-483a-bb30-12fe6f6f7f1e,3027,2,82,,124,Regular Play,England,Declan Rice,Left Defensive Midfield,1.32287,3788759,3943,,,,,0.986618755073616,Complete,3244,John Stones,Ground Pass,Right Foot,77.903175,62.223366,64.4,49.0
870edac6-a20f-483c-b8e4-86403d7be3f2,3031,2,82,,124,Regular Play,England,John Stones,Right Center Back,1.446683,3788759,3244,,,,,0.9739225975537206,Complete,3943,Declan Rice,Ground Pass,Right Foot,66.85273,48.18726,73.4,70.1
cef8a1fd-a495-4d00-908d-8a015bbc3234,3034,2,82,,124,Regular Play,England,Declan Rice,Left Defensive Midfield,1.025641,3788759,3943,,,,,0.882247545261563,Complete,9550,Reece James,Ground Pass,Right Foot,75.572235,71.8187,86.4,72.3
b4dff90e-86ec-48c0-9a82-57bb336a8e3a,3037,2,82,,124,Regular Play,England,Reece James,Right Back,1.141117,3788759,9550,,,,,0.9026049528668096,Complete,3233,Raheem Sterling,Ground Pass,Right Foot,86.3243,74.60886,98.9,58.1
ee0a4b1a-ff0f-4774-8803-27f17381247a,3050,2,82,,125,Regular Play,Scotland,Stuart Armstrong,Right Defensive Midfield,1.913901,3788759,10285,,,,,0.9948874099463936,Complete,3655,Andrew Robertson,Ground Pass,Right Foot,79.22102,2.91329,73.1,27.3
09f984c9-055a-486b-a5de-041128c8b8a2,3053,2,82,,125,Regular Play,Scotland,Andrew Robertson,Left Wing Back,2.270387,3788759,3655,,,,,0.9884555367918036,Complete,3620,Scott McTominay,Ground Pass,Left Foot,82.40959,43.07901,72.8,63.5
08adcd32-a74f-4936-a5c6-83231028b74a,3056,2,82,,125,Regular Play,Scotland,Scott McTominay,Right Center Back,1.078981,3788759,3620,,,,,0.9913336896395636,Complete,9974,John McGinn,Ground Pass,Right Foot,70.05772,62.701687,68.5,53.0
26eb87b8-2029-4621-be25-bbd1666a8331,3059,2,83,,125,Regular Play,Scotland,John McGinn,Center Attacking Midfield,1.68932,3788759,9974,,,,,0.9905947647646036,Complete,10540,Kieran Tierney,Ground Pass,Left Foot,66.41406,48.73641,62.8,27.1
230a34b3-e6a7-427c-b6bb-16ce651d163c,3062,2,83,,125,Regular Play,Scotland,Kieran Tierney,Left Center Back,1.509553,3788759,10540,,,,,0.9433169272716908,Complete,10285,Stuart Armstrong,Ground Pass,Left Foot,62.294632,23.197662,77.0,10.8
b51088e9-0ea1-4f81-9ed9-5298b7fb7722,3065,2,83,,125,Regular Play,Scotland,Stuart Armstrong,Right Defensive Midfield,1.071683,3788759,10285,,,,,0.977361377290102,Complete,3655,Andrew Robertson,Ground Pass,Right Foot,77.13527,14.16923,78.7,25.1
e2ce5f93-a92f-472f-92e2-b7e94d9371f0,3067,2,83,,125,Regular Play,Scotland,Andrew Robertson,Left Wing Back,0.906334,3788759,3655,,,,,0.9784200623366992,Complete,10285,Stuart Armstrong,Ground Pass,Left Foot,78.02774,22.320663,79.7,10.4
467cb7c9-92b8-41e3-9935-52fc4a3ab52f,3070,2,83,,125,Regular Play,Scotland,Stuart Armstrong,Right Defensive Midfield,2.058282,3788759,10285,,,,,0.9908092201357118,Complete,10540,Kieran Tierney,Ground Pass,Left Foot,76.165825,12.12123,63.0,18.2
fead5411-31b5-4ace-be02-fac5baaf5292,3073,2,83,,125,Regular Play,Scotland,Kieran Tierney,Left Center Back,1.55506,3788759,10540,,,,,0.9942538129020101,Complete,9481,Grant Hanley,Ground Pass,Left Foot,62.73628,19.52683,57.4,36.3
426fa831-aea0-4cfa-a06d-be8c246d59b3,3076,2,83,,125,Regular Play,Scotland,Grant Hanley,Center Back,1.52,3788759,9481,,,,,0.9888033542564942,Complete,3620,Scott McTominay,Ground Pass,Right Foot,57.84724,35.48565,57.0,58.6
c20299ff-3f73-46bc-95b2-be59cab0b756,3079,2,83,,125,Regular Play,Scotland,Scott McTominay,Right Center Back,1.861634,3788759,3620,,,,,0.9815770512794094,Complete,9048,"Stephen O""Donnell",Ground Pass,Right Foot,59.486156,57.12887,71.8,77.4
33ddfb1f-e963-4cfa-82d1-bbe12eaaef76,3082,2,83,,125,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,2.790268,3788759,9048,,,,,0.7020499281957863,Complete,10285,Stuart Armstrong,High Pass,Right Foot,74.69636,73.5377,77.0,11.6
2e148579-651d-4c65-addb-8f0389b51893,3085,2,83,,125,Regular Play,Scotland,Stuart Armstrong,Right Defensive Midfield,0.984161,3788759,10285,,,,,0.8584858280881098,Complete,3655,Andrew Robertson,Ground Pass,Right Foot,87.95479,8.92674,93.6,7.6
3e0bef1f-ef7a-40b0-a97c-2df657068721,3088,2,83,,125,Regular Play,Scotland,Andrew Robertson,Left Wing Back,1.857172,3788759,3655,,,,,0.9838903139584094,Complete,10534,Callum McGregor,Ground Pass,Left Foot,91.73467,4.560074,81.9,17.1
0304542a-9cd3-4834-a0e6-1aa61bd2ae58,3091,2,83,,125,Regular Play,Scotland,Callum McGregor,Left Defensive Midfield,0.683353,3788759,10534,,,,,0.9870513145557882,Complete,10540,Kieran Tierney,Ground Pass,Left Foot,82.85445,19.9994,72.8,25.4
c53ceae9-13b5-41fb-8d57-ab7939572d55,3094,2,83,,125,Regular Play,Scotland,Kieran Tierney,Left Center Back,2.190094,3788759,10540,,,,,0.9788227933038512,Complete,3620,Scott McTominay,Ground Pass,Left Foot,74.01955,25.55723,73.3,55.4
a5a6e5e0-82e2-44ed-ad15-e30526a4f34b,3097,2,83,,125,Regular Play,Scotland,Scott McTominay,Right Center Back,1.292117,3788759,3620,,,,,0.9830553395510914,Complete,9048,"Stephen O""Donnell",Ground Pass,Left Foot,78.20531,59.31558,83.8,77.4
b7c8a8ac-ddf4-4c76-9bce-ca9716354942,3100,2,83,,125,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,2.744337,3788759,9048,,,,,0.3038092325273777,Incomplete,3620,Scott McTominay,Low Pass,Right Foot,82.65408,75.623024,111.9,72.9
9cfdde88-65dd-4845-8c67-43fb9833dded,3103,2,83,Interception,125,Regular Play,England,Jack Grealish,Left Wing,1.428742,3788759,9638,True,,,,0.9748433065419948,Complete,3323,Tyrone Mings,Ground Pass,Right Foot,8.15001,13.740796,2.4,21.5
