id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
647b039b-24a7-4137-81b5-c8e982e92a44,1992,2,00:13:18.931,58,,99,From Free Kick,Switzerland,Nico Elvedi,Right Center Back,1.50954,3788744,8814,,,,,0.9299732551738168,Complete,16027,Kevin Mbabu,Ground Pass,Left Foot,30.342253,59.78057,48.9,71.8,0.96 (66/69)
1e177b2f-ad52-4b94-b1ce-648e15bbdd17,1995,2,00:13:21.472,58,,99,From Free Kick,Switzerland,Kevin Mbabu,Right Wing Back,1.246538,3788744,16027,,,,,0.7857901583052173,Out,3533,Xherdan Shaqiri,Ground Pass,Right Foot,52.35613,77.94083,76.8,79.6,0.76 (35/46)
d26b1841-db97-40c3-9e22-959c905576c9,1997,2,00:13:37.864,58,Throw-in,100,From Throw In,Wales,Ben Davies,Left Back,0.974631,3788744,3086,,,,,0.9750509921358836,Complete,3517,Aaron Ramsey,Low Pass,,50.5,0.1,54.3,8.0,0.71 (30/42)
b988f08f-29bb-44b8-a1b4-06a4224ff56f,2001,2,00:13:39.822,58,,100,From Throw In,Wales,Aaron Ramsey,Left Center Midfield,3.690761,3788744,3517,True,,,,0.8907264380832278,Complete,4774,Connor Roberts,High Pass,Right Foot,52.32078,9.37,34.6,71.5,0.84 (31/37)
128514fd-22a9-4bcb-abfd-52c4a8cb291e,2004,2,00:13:46.308,58,,100,From Throw In,Wales,Connor Roberts,Right Back,1.643115,3788744,4774,,,,,0.9424398634401508,Complete,6399,Gareth Frank Bale,Ground Pass,Left Foot,39.66722,65.85818,56.4,78.8,0.79 (26/33)
36dc7178-1fdf-40b3-a879-ec42a20551a8,2007,2,00:13:54.929,58,,100,From Throw In,Wales,Gareth Frank Bale,Right Midfield,3.344751,3788744,6399,,,,,0.6363808967428073,Complete,11252,Daniel James,High Pass,Left Foot,84.15691,66.84023,86.0,7.9,0.57 (16/28)
528b22ec-1e9c-4b01-b00b-9e46b1cd464f,2015,2,00:15:26.665,60,Corner,101,From Corner,Wales,Daniel James,Left Midfield,1.532203,3788744,11252,,,,,0.5495085079228978,Incomplete,,,High Pass,Right Foot,120.0,0.1,112.3,41.4,0.67 (12/18)
201cddeb-9059-414c-9c9d-a2158453cf95,2022,2,00:15:59.045,60,Corner,102,From Corner,Wales,Daniel James,Left Midfield,5.30341,3788744,11252,,,,,0.14438019120807954,Incomplete,,,High Pass,Right Foot,120.0,0.1,116.7,71.5,0.67 (12/18)
e5040cd0-c9d1-418f-ac4c-e0536ddde19f,2025,2,00:16:08.174,61,,102,From Corner,Switzerland,Granit Xhaka,Left Defensive Midfield,1.861037,3788744,3500,,,,,0.9449911204571784,Complete,5544,Ricardo Iván Rodríguez Araya,Ground Pass,Left Foot,22.449528,7.05665,36.7,16.4,0.88 (61/69)
6af63804-e2d7-4d97-b0ee-87d45303abea,2028,2,00:16:12.739,61,,102,From Corner,Switzerland,Ricardo Iván Rodríguez Araya,Left Wing Back,1.809355,3788744,5544,,,,,0.9251101325154872,Incomplete,3533,Xherdan Shaqiri,Ground Pass,Left Foot,49.901543,38.846096,70.6,60.7,0.74 (37/50)
