id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
c87d1d00-fc59-4bb6-b4ae-04c0eeb9aef9,5,1,00:00:00.679,0,Kick Off,2,From Kick Off,Hungary,Roland Sallai,Right Center Forward,1.6,3788763,19316,,,,,0.9952207691455331,Complete,46376,Attila Szalai,Ground Pass,Right Foot,60.10056,37.57067,37.0,34.3,0.68 (13/19)
b34806db-557c-411a-b8ce-47208b270d4a,8,1,00:00:03.479,0,,2,From Kick Off,Hungary,Attila Szalai,Left Center Back,3.121669,3788763,46376,,,,,0.8082710461065776,Out,8407,Ádám Szalai,High Pass,Left Foot,38.4018,36.359165,89.1,78.4,0.84 (36/43)
c740fa55-4a50-4e68-9bf1-b7860060b4a0,10,1,00:00:18.103,0,Throw-in,3,From Throw In,France,Lucas Digne,Left Back,0.883253,3788763,6849,,,,,0.9033265396287824,Complete,19677,Karim Benzema,Low Pass,,32.340515,-0.242676,36.8,3.4,0.85 (60/71)
7ad25553-f710-4746-acc2-0c3e0c159f76,14,1,00:00:19.995,0,,3,From Throw In,France,Karim Benzema,Center Forward,0.893561,3788763,19677,True,,,,0.9719465248143214,Complete,2999,Presnel Kimpembe,Ground Pass,Right Foot,34.18247,2.917725,11.4,6.4,0.86 (25/29)
9306e22a-5d70-4be3-8b86-da50e89cea65,17,1,00:00:22.233,0,,3,From Throw In,France,Presnel Kimpembe,Left Center Back,1.406731,3788763,2999,,,,,0.9783021328821344,Complete,3099,Hugo Lloris,Ground Pass,Left Foot,16.37072,6.41935,3.5,36.7,0.97 (83/86)
23192745-0904-473b-b360-e74ece7a6e26,20,1,00:00:25.091,0,,3,From Throw In,France,Hugo Lloris,Goalkeeper,2.526802,3788763,3099,,,,,0.6546620646851037,Complete,5476,Benjamin Pavard,High Pass,Left Foot,6.64172,29.951546,24.4,75.0,1.0 (18/18)
6febe36d-2571-4047-bcab-dac338b13c0b,23,1,00:00:28.418,0,,3,From Throw In,France,Benjamin Pavard,Right Back,1.029962,3788763,5476,,,,,0.9923831860349764,Complete,5485,Raphaël Varane,Ground Pass,Right Foot,26.1,75.7,13.9,65.0,0.92 (90/98)
7d7222df-1663-4252-a485-05520e880b4d,26,1,00:00:29.644,0,,3,From Throw In,France,Raphaël Varane,Right Center Back,2.563594,3788763,5485,,,,,0.40790869773514704,Incomplete,5487,Antoine Griezmann,High Pass,Right Foot,16.222534,62.87139,56.9,77.4,0.97 (88/91)
bc9cfa15-9999-4917-acc0-f7fc1d8d8b12,28,1,00:00:32.207,0,Recovery,4,Regular Play,Hungary,Attila Szalai,Left Center Back,1.517289,3788763,46376,,,,,0.9465704161758052,Complete,7162,Ádám Nagy,Low Pass,Head,63.330772,-2.8622782,67.4,11.7,0.84 (36/43)
e92dfa35-5ed2-4dfc-a6b6-853d52047239,32,1,00:00:34.681,0,,4,Regular Play,Hungary,Ádám Nagy,Center Defensive Midfield,0.828299,3788763,7162,True,,,,0.9322864991250563,Complete,42822,András Schäfer,Ground Pass,Right Foot,67.61498,12.9977455,74.9,13.4,0.84 (49/58)
