id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
c5a1e95e-df4d-4c40-b6a0-7d5f785c39c7,5,1,0,Kick Off,2,From Kick Off,Germany,Serge Gnabry,Center Forward,1.002141,3788751,8400,,,,0.9982064511703762,Complete,5574,Toni Kroos,Ground Pass,Right Foot,59.70866,40.19417,49.9,41.9
3b139338-071a-4099-9fb3-c9e7d6abf815,8,1,0,,2,From Kick Off,Germany,Toni Kroos,Left Defensive Midfield,0.961896,3788751,5574,,,,0.9975778767185924,Complete,5572,Mats Hummels,Ground Pass,Left Foot,49.59598,38.807228,37.3,41.5
41716c8c-1b56-44bf-88df-50cec2e24ff7,11,1,0,,2,From Kick Off,Germany,Mats Hummels,Center Back,3.513408,3788751,5572,,,,0.11417264113162108,Incomplete,5562,Thomas Müller,High Pass,Right Foot,40.45473,41.566082,104.9,58.8
62ddc444-53f1-4718-84e2-c3b176f85cdb,13,1,0,Recovery,2,From Kick Off,France,Lucas Hernández Pi,Left Back,1.715071,3788751,5484,,,,0.7793463692561715,Complete,3026,Adrien Rabiot,High Pass,Head,15.639655,23.433315,20.6,8.1
30076da3-2b42-44ed-b67c-052f93c44f8a,15,1,0,,2,From Kick Off,France,Adrien Rabiot,Left Center Midfield,1.762108,3788751,3026,,,,0.6229993252105619,Incomplete,3961,N''Golo Kanté,Low Pass,Head,20.6,8.1,26.6,12.3
03e3abf8-5f4a-4d7c-b124-6d25959134c7,17,1,0,Recovery,2,From Kick Off,Germany,Kai Havertz,Right Attacking Midfield,0.737972,3788751,8966,,,,0.96320050340126,Complete,10287,İlkay Gündoğan,Low Pass,Left Foot,96.1268,65.91001,85.4,61.1
86273cd5-60c7-44f9-8bde-e34d98e7964c,21,1,0,,2,From Kick Off,Germany,İlkay Gündoğan,Right Defensive Midfield,1.582332,3788751,10287,True,,,0.9744778397040442,Complete,5572,Mats Hummels,Ground Pass,Right Foot,86.45571,60.430614,66.6,54.5
a635844b-93f4-479c-9fef-fdd3a0fc1602,23,1,0,,2,From Kick Off,Germany,Mats Hummels,Center Back,1.187815,3788751,5572,,,,0.9912751471149568,Complete,5574,Toni Kroos,Ground Pass,Right Foot,65.85043,50.737736,70.8,46.6
22612d6c-6e85-48ac-b4cd-4ba1f57b81ed,26,1,0,,2,From Kick Off,Germany,Toni Kroos,Left Defensive Midfield,2.223978,3788751,5574,,,,0.5444357640162145,Complete,5579,Joshua Kimmich,High Pass,Right Foot,69.50248,46.81577,95.4,75.9
0ad7fd01-8af0-4378-a0d1-8cd2017a243c,30,1,0,,2,From Kick Off,Germany,Joshua Kimmich,Right Wing Back,1.2,3788751,5579,,,,0.9950968084947428,Complete,5572,Mats Hummels,Ground Pass,Right Foot,71.83476,57.14919,59.5,54.1
