id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
b48dc2e0-30be-414b-98a2-4e0bc82bc980,3433,2,90,,156,From Goal Kick,Germany,Toni Kroos,Left Center Midfield,1.095581,3788764,5574,,,,0.9324442557330179,Complete,3053,Leroy Sané,Ground Pass,Right Foot,69.23235,46.192883,84.4,60.5
189520ab-650d-4164-a876-18609d376690,3436,2,90,,156,From Goal Kick,Germany,Leroy Sané,Center Forward,1.591586,3788764,3053,,,,0.9359051802661958,Complete,5579,Joshua Kimmich,Ground Pass,Left Foot,88.70997,59.41248,92.4,71.8
757ebf80-5487-4ee4-af49-0c73f5451810,3439,2,90,,156,From Goal Kick,Germany,Joshua Kimmich,Right Wing Back,0.55499,3788764,5579,,,,0.9070157465711991,Complete,3053,Leroy Sané,Ground Pass,Right Foot,93.07538,74.335304,92.7,68.3
ff00f995-600d-4cd8-9317-d3b6bf30f879,3442,2,90,,156,From Goal Kick,Germany,Leroy Sané,Center Forward,0.778383,3788764,3053,,,,0.9835620807129634,Complete,5579,Joshua Kimmich,Ground Pass,Left Foot,95.8505,67.64067,90.5,74.5
44dadce6-d457-4a26-8447-d4523e493489,3445,2,90,,156,From Goal Kick,Germany,Joshua Kimmich,Right Wing Back,0.527508,3788764,5579,,,,0.92222316483914,Complete,3053,Leroy Sané,Ground Pass,Right Foot,93.93068,74.109184,91.9,69.6
98b50ce6-1ffc-4e0f-84d3-79cb06a81571,3448,2,90,,156,From Goal Kick,Germany,Leroy Sané,Center Forward,0.707842,3788764,3053,,,,0.9835620807129634,Complete,5562,Thomas Müller,Ground Pass,Left Foot,93.44236,68.44206,83.6,75.2
4b17261e-ba3f-47e7-a986-eb9d9f1bd818,3451,2,90,,156,From Goal Kick,Germany,Thomas Müller,Right Attacking Midfield,1.520584,3788764,5562,,,,0.9242961760403224,Complete,3493,Emre Can,Low Pass,Left Foot,83.467766,75.32992,75.9,55.0
8afae3e4-fab2-41a7-a682-b0d02f56f798,3454,2,91,,156,From Goal Kick,Germany,Emre Can,Right Center Midfield,1.587372,3788764,3493,,,,0.9824069270595018,Complete,3167,Antonio Rüdiger,Ground Pass,Left Foot,69.82311,45.740383,63.2,23.9
7c17e10e-16b1-4819-882f-5516ba36a283,3457,2,91,,156,From Goal Kick,Germany,Antonio Rüdiger,Left Center Back,1.222712,3788764,3167,,,,0.9436912160402748,Complete,6324,Leon Goretzka,Ground Pass,Right Foot,64.41591,22.82253,80.9,31.6
3609c53c-2774-4b7a-b56b-e096d930b094,3461,2,91,,156,From Goal Kick,Germany,Leon Goretzka,Left Attacking Midfield,1.103069,3788764,6324,,,,0.8362826037979557,Complete,8525,Marcel Halstenberg,Ground Pass,Right Foot,90.43703,27.589123,107.2,14.9
11e234d6-c521-4680-9d37-a85a1dffbb58,3465,2,91,,156,From Goal Kick,Germany,Marcel Halstenberg,Left Wing Back,0.672775,3788764,8525,True,,,0.5352357419082808,Complete,3053,Leroy Sané,Ground Pass,Left Foot,107.90241,15.94792,107.5,32.9
3d54712e-535b-4cfb-95d4-16c7c94cf31f,3475,2,91,Goal Kick,157,From Goal Kick,Portugal,Rui Pedro dos Santos Patrício,Goalkeeper,0.659197,3788764,5205,,,,0.993012620919032,Complete,5206,Rúben Santos Gato Alves Dias,Ground Pass,Right Foot,3.9422178,39.792736,6.8,32.2
6d7fb03b-1461-4545-b3bc-fec05d7ed9de,3478,2,91,,157,From Goal Kick,Portugal,Rúben Santos Gato Alves Dias,Left Center Back,2.552606,3788764,5206,,,,0.7733839421508141,Complete,5209,Raphaël Adelino José Guerreiro,High Pass,Right Foot,4.9013915,33.903797,14.4,5.8
1dc46228-408f-4479-ba62-fff6dab486bd,3481,2,91,,157,From Goal Kick,Portugal,Raphaël Adelino José Guerreiro,Left Back,2.142191,3788764,5209,,,,0.32471156707339915,Incomplete,,,High Pass,Left Foot,18.255676,6.26194,56.9,9.9
9cf45a38-9094-4ec8-b557-d315a242fd1c,3482,2,91,Recovery,158,Regular Play,Germany,Matthias Ginter,Right Center Back,1.382812,3788764,8808,,,,0.6906567606631783,Complete,3493,Emre Can,High Pass,Head,62.339,69.14569,78.4,70.7
6d62886b-0937-4dbd-aeaa-69162e445df9,3484,2,91,,158,Regular Play,Germany,Emre Can,Right Center Midfield,1.777426,3788764,3493,,,,0.8984294710784686,Complete,6324,Leon Goretzka,High Pass,Head,77.42491,64.922005,73.2,59.2
33572e4b-c564-4121-b38f-73d12315d719,3486,2,91,,158,Regular Play,Germany,Leon Goretzka,Left Attacking Midfield,1.414905,3788764,6324,,,,0.6638704144618087,Complete,5562,Thomas Müller,Low Pass,Head,74.67192,62.922417,81.9,57.0
fe2f6259-80c4-4b75-b94e-8b925f13c343,3492,2,91,Recovery,159,Regular Play,Portugal,Rafael Alexandre Fernandes Ferreira da Silva,Right Midfield,1.2911,3788764,10327,True,,,0.9745103093171344,Complete,5218,André Miguel Valente Silva,Ground Pass,Right Foot,47.394764,42.35359,56.9,36.1
2469ecbe-a1e8-469a-9f84-62234214bc46,3496,2,91,,159,Regular Play,Portugal,André Miguel Valente Silva,Left Center Forward,0.574997,3788764,5218,True,,,0.9630485839525202,Complete,10327,Rafael Alexandre Fernandes Ferreira da Silva,Ground Pass,Right Foot,56.48384,39.54109,51.7,33.6
5d1abe5e-ce97-4028-8f20-1a5a74ae38f9,3502,2,91,Free Kick,160,From Free Kick,Portugal,Renato Júnior Luz Sanches,Left Midfield,2.65065,3788764,3593,,True,,0.9836206220756536,Complete,6374,Nélson Cabral Semedo,Ground Pass,Right Foot,65.5,40.0,70.4,65.2
d5c1bf56-9262-4229-9434-39e5a224853d,3504,2,92,,160,From Free Kick,Portugal,Nélson Cabral Semedo,Right Back,1.928947,3788764,6374,,,,0.9212034836343316,Complete,5218,André Miguel Valente Silva,Ground Pass,Right Foot,73.68013,65.469604,99.3,68.3
99257575-393d-4f7f-b9f1-d29d4fca03ee,3507,2,92,,160,From Free Kick,Portugal,André Miguel Valente Silva,Left Center Forward,1.233523,3788764,5218,,,,0.9552234548272652,Complete,6374,Nélson Cabral Semedo,Ground Pass,Right Foot,106.459175,73.804825,99.9,66.9
d7857f3a-6e6f-49d9-b3b3-46dcc4d0e1c8,3510,2,92,,160,From Free Kick,Portugal,Nélson Cabral Semedo,Right Back,1.756942,3788764,6374,,,,0.9854947678153038,Complete,20016,Kléper Laveran Lima Ferreira,Ground Pass,Right Foot,91.32065,71.066574,76.1,66.4
58116ae1-a73a-4db8-9930-e023df58a647,3513,2,92,,160,From Free Kick,Portugal,Kléper Laveran Lima Ferreira,Right Center Back,0.370839,3788764,20016,,,,0.09877856820798314,Incomplete,,,Low Pass,Right Foot,75.51952,64.674675,79.8,61.4
