id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
f07b0f88-16b6-46f1-849a-1752c7c19816,1523,1,00:44:20.197,44,,80,Regular Play,Spain,César Azpilicueta Tanco,Right Back,1.138261,3788775,3957,,,,0.9658876570567914,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Right Foot,69.97685,46.944458,78.3,40.0
0130c5be-b9d5-4a4f-b7b4-530a4ff4ad49,1526,1,00:44:21.336,44,,80,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,1.240309,3788775,5203,True,,,0.9900463248001352,Complete,31953,Eric García Martret,Ground Pass,Right Foot,75.29179,36.245045,67.0,39.3
3d924b5b-fc75-4cb6-8055-59d4a15e6f4d,1529,1,00:44:24.216,44,,80,Regular Play,Spain,Eric García Martret,Right Center Back,1.055315,3788775,31953,,,,0.9641705183107508,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Right Foot,63.69577,38.664997,77.7,43.4
3e8a19aa-c46c-4f8b-8359-71b918995f68,1532,1,00:44:25.655,44,,80,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,0.898026,3788775,5203,,,,0.9767732313903408,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,75.33199,42.62657,83.5,52.4
8d8a7b2a-de85-4105-9962-678369e652bc,1537,1,00:44:47.584,44,Goal Kick,81,From Goal Kick,Slovakia,Martin Dúbravka,Goalkeeper,1.1677,3788775,3711,,True,,0.9938798561911976,Complete,7025,Marek Hamšík,Ground Pass,Right Foot,6.0,36.0,16.7,56.8
8f0cd379-8a6e-4a80-8dea-63a4b56c1573,1539,1,00:44:49.387,44,,81,From Goal Kick,Slovakia,Marek Hamšík,Center Attacking Midfield,1.24319,3788775,7025,,,,0.9954630344255632,Complete,6990,Milan Škriniar,Ground Pass,Left Foot,25.887669,60.60822,19.5,36.1
a08fc104-6546-4b74-8121-ea8b807d6e16,1541,1,00:44:50.630,44,,81,From Goal Kick,Slovakia,Milan Škriniar,Left Center Back,1.627649,3788775,6990,,,,0.99571739693426,Complete,3711,Martin Dúbravka,Ground Pass,Left Foot,19.419056,37.56206,7.1,40.6
c46f4a38-88c3-439b-9a80-9cae097d760d,1544,1,00:44:53.951,44,,81,From Goal Kick,Slovakia,Martin Dúbravka,Goalkeeper,2.71248,3788775,3711,,,,0.4315826417763162,Complete,7975,Lukáš Haraslín,High Pass,Right Foot,6.9893994,44.242985,49.3,70.5
491f1fa6-7ee3-47d7-9e3a-45f7f3540dce,1546,1,00:44:56.663,44,,81,From Goal Kick,Slovakia,Lukáš Haraslín,Right Wing,1.557197,3788775,7975,,,,0.207082784434647,Incomplete,8967,Ondrej Duda,High Pass,Head,50.858456,69.672585,64.9,63.2
c1c5069e-a015-40ee-bb88-fdf05d9055e4,1548,1,00:44:58.220,44,Interception,82,Regular Play,Spain,Aymeric Laporte,Left Center Back,0.830007,3788775,4353,,,True,0.8847481445725777,Complete,5203,Sergio Busquets i Burgos,Low Pass,Head,57.124554,14.00269,69.1,22.2
