id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
c4a3558f-e273-4abf-9ec6-f36dcf37bfd8,5,1,0,Kick Off,2,From Kick Off,Czech Republic,Patrik Schick,Center Forward,1.651356,3788772,7044,,,,,Complete,30328,Ondrej Celustka,Ground Pass,Left Foot,60.120068,37.40722,33.6,41.9
0c216c8b-7d80-452a-a536-022b8dcfef51,8,1,0,,2,From Kick Off,Czech Republic,Ondrej Celustka,Right Center Back,3.447488,3788772,30328,,,,,Incomplete,4870,Tomáš Souček,High Pass,Right Foot,38.386414,40.08226,93.1,15.5
45111d09-8c34-4e1d-b474-80fc890c143e,15,1,0,,3,Regular Play,England,Bukayo Saka,Right Wing,1.26184,3788772,22084,True,,,,Complete,3205,Kyle Walker,Ground Pass,Left Foot,28.3509,64.76093,16.1,62.2
13719435-fba2-4f58-80f1-54a6869daa57,19,1,0,,3,Regular Play,England,Kyle Walker,Right Back,2.050607,3788772,3205,True,,,,Complete,3233,Raheem Sterling,High Pass,Right Foot,17.024826,60.15422,54.0,47.2
f29208dc-6607-4a31-943e-7207d9c497b4,27,1,0,,3,Regular Play,Czech Republic,Jan Bořil,Left Back,3.067275,3788772,4875,,,,,Incomplete,7044,Patrik Schick,High Pass,Right Foot,71.70102,20.834911,101.9,15.5
ec309a94-c255-4de4-b136-a6337e76c701,29,1,0,Recovery,3,Regular Play,England,Kyle Walker,Right Back,1.645632,3788772,3205,,,,,Complete,3468,Jordan Pickford,Low Pass,Head,19.72024,62.598213,6.6,58.1
24b53aa6-f6b2-4c3f-b9ec-cf2511ba13ff,32,1,0,,3,Regular Play,England,Jordan Pickford,Goalkeeper,2.539172,3788772,3468,,,,,Complete,3382,Luke Shaw,High Pass,Keeper Arm,13.53941,42.484783,43.8,5.1
589a2ade-dbbb-469c-8f01-33c2086ea31f,38,1,0,Recovery,3,Regular Play,Czech Republic,Vladimír Coufal,Right Back,1.447643,3788772,16570,True,,,,Incomplete,7044,Patrik Schick,High Pass,Right Foot,57.6,71.9,72.6,52.0
5a81363b-8c8e-4f2a-92eb-7b755db0a873,40,1,0,Recovery,3,Regular Play,England,Declan Rice,Left Defensive Midfield,2.083214,3788772,3943,,,,,Incomplete,10955,Harry Kane,High Pass,Head,49.17822,23.784374,67.6,27.3
b7038c64-687d-4a55-b26c-dddb9a19bbd7,42,1,0,Recovery,3,Regular Play,Czech Republic,Ondrej Celustka,Right Center Back,2.158004,3788772,30328,,,,,Incomplete,7044,Patrik Schick,High Pass,Head,53.000664,55.95473,89.7,54.3
