id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
98ff7141-e46a-4b7b-a15e-45eedef51406,365,1,9,,21,From Free Kick,Czech Republic,Jan Bořil,Left Back,2.010514,3788748,4875,True,,,0.9708792884083516,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,84.99524,4.767075,55.4,18.1
f32951f0-aaec-4388-84b2-f7f5836b8c0f,368,1,9,,21,From Free Kick,Czech Republic,Tomáš Kalas,Left Center Back,2.451759,3788748,13197,,,,0.9912990986379504,Complete,30328,Ondrej Celustka,Ground Pass,Right Foot,53.2374,22.21121,50.8,67.7
11b64438-a626-4ac1-a63c-6e654bc3be69,371,1,9,,21,From Free Kick,Czech Republic,Ondrej Celustka,Right Center Back,0.936576,3788748,30328,,,,0.9549213533950596,Complete,16570,Vladimír Coufal,Ground Pass,Right Foot,52.19764,61.928104,63.3,77.3
638a4c7e-6416-477c-831c-a1fb45d58a13,374,1,9,,21,From Free Kick,Czech Republic,Vladimír Coufal,Right Back,1.245761,3788748,16570,,,,0.9935260102838844,Complete,30328,Ondrej Celustka,Ground Pass,Right Foot,62.202824,74.660255,44.6,71.8
91cbd9c6-93c6-471e-8c47-59fa4ffb5b07,377,1,9,,21,From Free Kick,Czech Republic,Ondrej Celustka,Right Center Back,1.971604,3788748,30328,,,,0.9926018349181024,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,46.06214,60.504284,43.9,21.2
3f9473e4-4d27-4090-83ea-2be21547dca1,380,1,9,,21,From Free Kick,Czech Republic,Tomáš Kalas,Left Center Back,1.777474,3788748,13197,,,,0.9954265377059788,Complete,30328,Ondrej Celustka,Ground Pass,Right Foot,51.66094,20.67962,49.5,62.9
5e1be968-4e42-4e56-98c4-30438fb664c6,383,1,9,,21,From Free Kick,Czech Republic,Ondrej Celustka,Right Center Back,0.77754,3788748,30328,,,,0.9507836451334571,Complete,16570,Vladimír Coufal,Ground Pass,Right Foot,56.860126,62.40144,70.6,76.6
edefdb71-f7ad-4cec-b24b-8da04de3b542,390,1,10,,21,From Free Kick,Czech Republic,Vladimír Coufal,Right Back,1.180832,3788748,16570,,,,0.29931576351996697,Complete,7044,Patrik Schick,High Pass,Right Foot,95.23714,75.39661,105.8,47.9
38be6ec8-ced5-4b05-a015-682f7997bc10,396,1,10,,22,Regular Play,Scotland,David Marshall,Goalkeeper,1.398189,3788748,9645,,,,0.9966259505295358,Complete,9621,Liam Cooper,Ground Pass,Keeper Arm,16.255701,37.069057,22.6,23.9
442880ea-a8cc-44fb-85eb-05c6faa298e4,399,1,10,,22,Regular Play,Scotland,Liam Cooper,Left Center Back,1.088532,3788748,9621,,,,0.9933138793321302,Complete,9481,Grant Hanley,Ground Pass,Left Foot,23.20269,27.48618,19.5,39.9
