id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
a9aa5f32-27ee-4161-953f-fed945f7c4ba,223,1,3,,11,Regular Play,Spain,Aymeric Laporte,Right Center Back,1.451105,3788762,4353,,,,Complete,6840,Marcos Llorente Moreno,Ground Pass,Left Foot,73.93128,46.249424,76.4,59.6
69f826d2-7b63-4419-94ba-e89449345c09,226,1,3,,11,Regular Play,Spain,Marcos Llorente Moreno,Right Back,1.220825,3788762,6840,,,,Complete,6766,Gerard Moreno Balaguero,Ground Pass,Right Foot,77.58158,65.627754,89.9,72.9
95b38953-5b85-4161-9997-0fcda6b21b10,230,1,3,,11,Regular Play,Spain,Gerard Moreno Balaguero,Right Wing,0.787157,3788762,6766,True,,,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Left Foot,94.9629,67.95666,84.6,67.7
899dcb38-fdd6-4100-b4d9-0c23793c49bb,233,1,3,,11,Regular Play,Spain,Jorge Resurrección Merodio,Right Center Midfield,0.808645,3788762,5199,,,,Complete,6765,Rodrigo Hernández Cascante,Ground Pass,Right Foot,84.02386,69.30212,77.5,62.0
aa7379d6-7801-4b50-a610-b3c8766f3a1d,237,1,3,,11,Regular Play,Spain,Rodrigo Hernández Cascante,Center Defensive Midfield,0.785913,3788762,6765,True,,,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,75.60818,60.975796,78.3,70.3
9db72751-1988-485e-ac43-e19892311ad0,243,1,3,Throw-in,12,From Throw In,Spain,Marcos Llorente Moreno,Right Back,1.188168,3788762,6840,,,,Complete,6765,Rodrigo Hernández Cascante,Low Pass,,75.765724,80.33017,71.7,65.8
a0469a45-38bf-4aba-abda-dc64f548b704,247,1,3,,12,From Throw In,Spain,Rodrigo Hernández Cascante,Center Defensive Midfield,0.634173,3788762,6765,True,,,Complete,6840,Marcos Llorente Moreno,Ground Pass,Right Foot,70.14961,71.95072,71.1,72.7
0ef81673-e913-4024-8047-ab9fcaf5b187,255,1,4,Recovery,13,Regular Play,Poland,Mateusz Andrzej Klich,Right Center Midfield,2.792723,3788762,9622,,,,Complete,5669,Wojciech Szczęsny,Ground Pass,Right Foot,36.97878,31.54283,7.1,38.0
0e4cef88-b091-4851-ab24-587c4f2b36d8,259,1,4,,13,Regular Play,Poland,Wojciech Szczęsny,Goalkeeper,2.585847,3788762,5669,True,,,Complete,4673,Kamil Jóźwiak,High Pass,Right Foot,3.392975,32.790356,43.5,65.8
e921100f-30a5-439c-a8b1-408b537c458c,262,1,4,,13,Regular Play,Poland,Kamil Jóźwiak,Right Wing Back,1.651288,3788762,4673,,,,Complete,5673,Bartosz Bereszyński,Ground Pass,Right Foot,43.202515,57.969296,28.1,69.7
