id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
48773e76-b521-4486-8e32-a36564207f16,5,1,0,Kick Off,2,From Kick Off,Spain,Pedro González López,Left Center Midfield,1.275289,3794686,30486,,,,0.9976091820521692,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,59.467896,40.451706,40.5,26.4
1dcd88b3-2c97-4298-9740-5eab8c12ce6d,8,1,0,,2,From Kick Off,Spain,Aymeric Laporte,Left Center Back,4.938691,3794686,4353,,,,0.6139538366626874,Out,6748,Ferrán Torres García,High Pass,Left Foot,42.005486,30.48177,95.0,79.7
661322b8-0323-4c82-bc89-5ad19594e039,10,1,0,Throw-in,3,From Throw In,Croatia,Joško Gvardiol,Left Back,1.288681,3794686,33018,,,,0.857789270335494,Complete,7693,Bruno Petković,Low Pass,,25.5,0.1,45.6,6.0
1cc6d8a9-d21d-4c73-9689-2f5ba2f3249d,15,1,0,,3,From Throw In,Croatia,Bruno Petković,Center Forward,1.721902,3794686,7693,True,,,0.6127578671039213,Incomplete,5469,Marcelo Brozović,Low Pass,Right Foot,47.2,6.4,56.7,9.1
1b4513b9-9158-4f96-bf8f-448360317d2a,18,1,0,Interception,3,From Throw In,Spain,Eric García Martret,Right Center Back,1.303223,3794686,31953,,,,0.6161400162907493,Incomplete,30486,Pedro González López,High Pass,Right Foot,62.892643,72.89677,78.2,66.3
87d2de79-cab7-4264-91ed-6f733de64f0f,20,1,0,Recovery,3,From Throw In,Croatia,Marcelo Brozović,Center Defensive Midfield,2.280916,3794686,5469,,,,0.4933737951558746,Incomplete,5465,Ante Rebić,High Pass,Right Foot,41.91773,9.85633,53.7,17.6
67396aef-f8d5-40b9-8d58-f6f3240e8cdf,23,1,0,Recovery,4,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,1.548128,3794686,5203,True,,,0.965472573082245,Complete,3957,César Azpilicueta Tanco,Low Pass,,67.166374,66.11371,63.5,74.6
6319f8b1-0bab-4586-b4ab-d71b2e86f59d,26,1,0,,4,Regular Play,Spain,César Azpilicueta Tanco,Right Back,3.069654,3794686,3957,,,,0.9314609226919208,Complete,31953,Eric García Martret,Low Pass,Right Foot,62.619743,78.190796,46.3,55.2
3946d884-9eb8-4672-a3a2-21fee03349f1,28,1,0,,4,Regular Play,Spain,Eric García Martret,Right Center Back,2.021311,3794686,31953,,,,0.995617508141408,Complete,4353,Aymeric Laporte,Ground Pass,Left Foot,41.803207,53.84283,42.0,38.1
0dea0487-2a83-4b86-aa55-2c009517ea0e,31,1,0,,4,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.66055,3794686,4353,,,,0.977782773160723,Complete,6596,José Luis Gayà Peña,Ground Pass,Left Foot,44.850197,42.235355,51.0,15.1
