id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
8fa3d92c-005e-438d-920b-178cbd17baa2,3323,2,00:42:02.124,87,,122,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,1.724325,3788750,6655,,,,,0.9135179978242112,Complete,30486,Pedro González López,Low Pass,Left Foot,44.04068,53.09675,49.2,23.8
91713738-970a-48e7-80be-2365d4397cd7,3326,2,00:42:06.576,87,,122,Regular Play,Spain,Pedro González López,Left Center Midfield,1.840405,3788750,30486,,,,,0.8584220905312882,Complete,5211,Jordi Alba Ramos,Ground Pass,Right Foot,65.715294,14.12991,91.7,6.0
b17612c0-ece0-45d8-a96b-7a5f8d024a52,3329,2,00:42:10.302,87,,122,Regular Play,Spain,Jordi Alba Ramos,Left Back,0.993458,3788750,5211,,,,,0.9886946463544134,Complete,30486,Pedro González López,Ground Pass,Left Foot,91.173676,5.28734,83.7,7.7
e4f57c9e-7c1f-413e-8c9a-a1f842e79946,3332,2,00:42:12.157,87,,122,Regular Play,Spain,Pedro González López,Left Center Midfield,1.284182,3788750,30486,,,,,0.9883030529161936,Complete,5208,Thiago Alcântara do Nascimento,Ground Pass,Left Foot,82.61986,10.42167,76.8,34.6
00d13504-33d0-4d9b-a821-82d6cdd45ab1,3336,2,00:42:14.749,87,,122,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,1.60352,3788750,5208,,,,,0.9746273590804796,Complete,6840,Marcos Llorente Moreno,Ground Pass,Right Foot,75.5948,29.283195,76.3,68.3
1e0f2907-f837-4a49-9b06-af907e77b518,3339,2,00:42:19.731,87,,122,Regular Play,Spain,Marcos Llorente Moreno,Right Back,1.304406,3788750,6840,,,,,0.961333270984908,Complete,6720,Pablo Sarabia García,Ground Pass,Right Foot,90.74764,64.83091,92.6,77.7
14647e4a-3e3d-41fb-8f8f-239d1f215592,3342,2,00:42:21.912,87,,122,Regular Play,Spain,Pablo Sarabia García,Right Wing,0.5497,3788750,6720,,,,,0.6877513126507535,Complete,6655,Fabián Ruiz Peña,Ground Pass,Left Foot,95.813805,76.297264,97.5,71.5
211eeca0-1b37-4333-b1b4-f562a722a60d,3344,2,00:42:22.462,87,,122,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,0.472013,3788750,6655,,,,,0.9399844285050226,Incomplete,6720,Pablo Sarabia García,Ground Pass,Left Foot,97.79398,67.623566,91.1,68.8
e2728835-d332-4414-b56b-d346a3f6d33c,3351,2,00:42:27.547,87,Recovery,123,Regular Play,Sweden,Albin Ekdal,Left Defensive Midfield,1.405649,3788750,5624,True,,,,0.9953790295641184,Complete,5621,Ludwig Augustinsson,Ground Pass,Right Foot,31.227848,6.519129,23.6,6.0
8a3468e3-f8a4-4c24-b03b-7ea42057245a,3354,2,00:42:28.952,87,,123,Regular Play,Sweden,Ludwig Augustinsson,Left Back,1.288931,3788750,5621,True,,,,0.4244811466152961,Complete,8552,Robin Quaison,High Pass,Left Foot,21.740234,10.270254,49.1,8.2
