id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
287cbebc-f261-4228-9839-ff0c684e433b,5,1,0,Kick Off,2,From Kick Off,Denmark,Pierre-Emile Højbjerg,Right Defensive Midfield,1.318863,3795109,3570,,,,,0.9985798406486136,Complete,5534,Simon Thorup Kjær,Ground Pass,Right Foot,60.23087,39.606228,42.2,40.2
e3a8e064-db14-408a-aa9c-ffa8e363705f,8,1,0,,2,From Kick Off,Denmark,Simon Thorup Kjær,Center Back,2.43764,3795109,5534,,,,,0.5227364509727258,Incomplete,6302,Kasper Dolberg,High Pass,Right Foot,41.08774,39.401382,82.4,20.7
2022333c-0e80-4c91-9b40-7f70574b584f,10,1,0,Recovery,2,From Kick Off,Czech Republic,Tomáš Souček,Left Center Midfield,1.838043,3795109,4870,,,,,0.4906680216025205,Incomplete,,,High Pass,Head,35.77199,57.58344,51.2,49.6
58cdd3e6-9931-4418-abe1-3e6b932b8df5,13,1,0,Recovery,2,From Kick Off,Czech Republic,Vladimír Coufal,Right Back,1.892704,3795109,16570,,,,,0.3592964691136215,Incomplete,7044,Patrik Schick,High Pass,Head,41.706673,67.71826,63.2,70.1
5a75eb26-6de1-4dc6-b922-c08ec80c73a5,15,1,0,Interception,2,From Kick Off,Denmark,Jannik Vestergaard,Left Center Back,3.101355,3795109,8815,,,,,0.2454211510756314,Out,6302,Kasper Dolberg,High Pass,Head,55.61576,16.028072,88.4,0.8
c05892d0-1578-4594-9da0-9c18efe221dc,17,1,0,Throw-in,3,From Throw In,Czech Republic,Vladimír Coufal,Right Back,0.824232,3795109,16570,,,,,0.9361254303348882,Complete,7801,Antonín Barák,Low Pass,,34.5,80.0,39.2,72.9
97219577-d649-413e-b424-199bcc88804a,21,1,0,,3,From Throw In,Czech Republic,Antonín Barák,Center Attacking Midfield,0.578578,3795109,7801,True,,,,0.9865198505618386,Complete,16570,Vladimír Coufal,Ground Pass,Left Foot,36.9,73.3,29.2,75.0
131c2df1-8a07-4b93-8649-dd65680927cc,24,1,0,,3,From Throw In,Czech Republic,Vladimír Coufal,Right Back,5.164499,3795109,16570,,,,,0.09339888073025016,Incomplete,7044,Patrik Schick,High Pass,Right Foot,29.2,75.0,101.2,50.6
63fce548-149d-49f9-b64a-c1ffe808ce95,26,1,0,Recovery,4,Regular Play,Denmark,Kasper Schmeichel,Goalkeeper,1.621626,3795109,3815,,,,,0.8340066579686823,Complete,5527,Thomas Delaney,High Pass,Right Foot,23.892265,29.280193,41.8,22.2
9279b6eb-6ad5-4cc2-9a12-fe926b63885b,28,1,0,,4,Regular Play,Denmark,Thomas Delaney,Left Defensive Midfield,1.746671,3795109,5527,True,,,,0.5220074105396592,Incomplete,16554,Joakim Mæhle,High Pass,,40.74328,16.15173,48.6,20.7
