id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
54a46549-d2ae-4171-9932-91a13eb253d0,2931,2,00:26:37.788,71,,135,Regular Play,North Macedonia,Arijan Ademi,Right Defensive Midfield,0.704465,3788770,18879,True,,,0.6374320400478007,Complete,6782,Enis Bardhi,Low Pass,Right Foot,43.21821,7.388985,52.2,15.8
c8f33a91-41e2-467f-89a4-93ac3de6060b,2935,2,00:26:39.910,71,,135,Regular Play,North Macedonia,Enis Bardhi,Left Defensive Midfield,1.262484,3788770,6782,True,,,0.8117753193784091,Pass Offside,30322,Darko Churlinov,Ground Pass,Right Foot,55.97335,16.454407,87.5,38.8
ed3c3ebb-4bd8-4cd9-9e43-cfd034da4c8b,2937,2,00:27:15.219,72,Free Kick,136,From Free Kick,Netherlands,Matthijs de Ligt,Center Back,2.325477,3788770,8069,,,True,0.6915389043273843,Complete,13360,Quincy Anton Promes,High Pass,Right Foot,32.6,41.3,71.4,24.9
68a453d6-fbfa-4faa-a174-28a8878bc5ce,2939,2,00:27:23.822,72,,136,From Free Kick,Netherlands,Quincy Anton Promes,Left Center Forward,1.656828,3788770,13360,,,,0.8132156215301646,Complete,23230,Ryan Gravenberch,Ground Pass,Right Foot,90.46459,13.760807,102.4,7.4
9c94189a-8646-48db-8290-f75004340838,2942,2,00:27:25.763,72,,136,From Free Kick,Netherlands,Ryan Gravenberch,Left Defensive Midfield,1.246154,3788770,23230,,,,0.9539441981619228,Complete,3321,Patrick van Aanholt,Ground Pass,Right Foot,103.23743,11.724432,105.5,21.2
eca022a8-4c3b-4d59-a8a7-a46901bc2de3,2945,2,00:27:28.543,72,,136,From Free Kick,Netherlands,Patrick van Aanholt,Left Wing Back,1.043747,3788770,3321,,,,0.98154111525775,Complete,13360,Quincy Anton Promes,Ground Pass,Right Foot,103.931946,20.349655,100.6,21.2
bdbd9529-9ed9-4e09-8151-9b0a503b4698,2948,2,00:27:30.160,72,,136,From Free Kick,Netherlands,Quincy Anton Promes,Left Center Forward,0.725188,3788770,13360,,,,0.9297376221030152,Complete,7745,Steven Berghuis,Ground Pass,Right Foot,98.64524,26.246555,99.1,38.7
b2053177-29d5-4def-9984-f6db1f51ac8e,2951,2,00:27:31.060,72,,136,From Free Kick,Netherlands,Steven Berghuis,Right Wing Back,0.424991,3788770,7745,,,,0.3630841013002165,Incomplete,3321,Patrick van Aanholt,Ground Pass,Left Foot,98.36651,38.134663,102.6,39.9
ae5aa402-5adf-4eab-a98d-4c387a5956a9,2957,2,00:27:36.549,72,,138,From Keeper,North Macedonia,Stole Dimitrievski,Goalkeeper,2.161493,3788770,21397,,,True,0.9861983788441976,Complete,4713,Ezgjan Alioski,High Pass,Keeper Arm,20.5,49.5,32.7,6.9
6d9eaa32-b860-47f8-9baa-debb30d1effb,2960,2,00:27:39.884,72,,139,Regular Play,North Macedonia,Ezgjan Alioski,Left Back,0.117189,3788770,4713,,,,0.13254745572479418,Incomplete,41836,Ferhan Hasani,Ground Pass,Left Foot,34.02481,7.54692,38.4,6.3
c577b5d2-fa20-4103-b303-870871cee410,2964,2,00:27:48.819,72,Throw-in,140,From Throw In,North Macedonia,Ezgjan Alioski,Left Back,0.889174,3788770,4713,,,True,0.9750509921358836,Complete,6782,Enis Bardhi,Low Pass,,31.2,0.1,35.3,10.4
5c9bad9a-25cc-44f5-b598-74ba23ca565a,2966,2,00:27:49.729,72,,140,From Throw In,North Macedonia,Enis Bardhi,Left Defensive Midfield,0.833437,3788770,6782,,,,0.9953059860373856,Complete,4713,Ezgjan Alioski,Ground Pass,Right Foot,39.63494,10.19688,35.8,6.7
f783cd59-475f-40bb-b726-52f1db8d0d51,2970,2,00:27:52.552,72,,140,From Throw In,North Macedonia,Ezgjan Alioski,Left Back,0.938117,3788770,4713,True,,,0.9011279072880244,Complete,16535,Eljif Elmas,Ground Pass,Left Foot,33.988434,0.816826,40.5,3.0
411142a1-4283-449d-911c-8fc515e3199f,2975,2,00:27:55.993,72,Throw-in,141,From Throw In,Netherlands,Jurriën David Norman Timber,Right Center Back,1.467681,3788770,21809,,,,0.7902499496909741,Incomplete,8118,Frenkie de Jong,High Pass,,82.26555,81.19883,89.7,69.5
80cbac43-c1a5-4a58-849c-432ef4f8ea34,2978,2,00:27:58.920,72,Recovery,141,From Throw In,Netherlands,Frenkie de Jong,Right Defensive Midfield,2.15377,3788770,8118,,,,0.35506702160579984,Complete,7829,Wout Weghorst,High Pass,Right Foot,96.1374,60.841873,109.4,68.9
