id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
b69fdb09-fb20-4b5c-8ed2-c7feb9620f0e,5,1,0,Kick Off,2,From Kick Off,Austria,Michael Gregoritsch,Left Center Forward,1.757541,3788756,8309,,,,,0.9931364688542874,Complete,8220,David Olatukunbo Alaba,Ground Pass,Left Foot,59.930233,40.36923,34.5,35.1
e2f0072c-c41e-42ef-9a76-c08b7c558c9e,8,1,0,,2,From Kick Off,Austria,David Olatukunbo Alaba,Center Back,1.984418,3788756,8220,,,,,0.9541936270766018,Complete,8518,Marcel Sabitzer,Ground Pass,Left Foot,35.13376,37.532616,54.0,17.8
618d14b0-6a2b-4865-957a-044ba2e5d5f9,11,1,0,,2,From Kick Off,Austria,Marcel Sabitzer,Left Center Midfield,0.971994,3788756,8518,,,,,0.9966700216954032,Complete,8307,Martin Hinteregger,Ground Pass,Right Foot,53.3159,15.332985,43.2,17.8
a8e4f079-6b08-4b65-a08b-a594e13b802b,14,1,0,,2,From Kick Off,Austria,Martin Hinteregger,Left Center Back,1.599325,3788756,8307,,,,,0.9942538129020101,Complete,8220,David Olatukunbo Alaba,Ground Pass,Left Foot,42.292595,14.49043,30.2,32.6
b84a8d32-1180-432b-bd99-9b56794a86ef,17,1,0,,2,From Kick Off,Austria,David Olatukunbo Alaba,Center Back,1.141264,3788756,8220,,,,,0.9489992513988283,Complete,8307,Martin Hinteregger,Ground Pass,Right Foot,38.09339,28.750797,51.2,7.9
2aeeabb3-3402-4217-8771-b51fa3bd9100,21,1,0,,2,From Kick Off,Austria,Martin Hinteregger,Left Center Back,1.444779,3788756,8307,True,,,,0.9076031474436544,Complete,8309,Michael Gregoritsch,Ground Pass,Left Foot,52.0291,12.07731,71.9,24.3
48d6e28c-1574-49d1-8f7b-54ac586dba21,25,1,0,,2,From Kick Off,Austria,Michael Gregoritsch,Left Center Forward,0.59441,3788756,8309,True,,,,0.5394978805985098,Complete,24977,Christoph Baumgartner,Ground Pass,No Touch,71.60166,23.980446,78.4,27.4
de4bb06a-1c35-40a5-a2fd-f73b5cfedfdd,29,1,0,Recovery,3,Regular Play,Netherlands,Stefan de Vrij,Right Center Back,0.504744,3788756,7787,,,,,0.94957511257286,Complete,8069,Matthijs de Ligt,Ground Pass,Right Foot,41.937954,56.903866,45.7,53.6
50155b6d-0d06-4a49-96d7-c9705bc1e654,33,1,0,,3,Regular Play,Netherlands,Matthijs de Ligt,Center Back,0.604207,3788756,8069,True,,,,0.9688939299134782,Complete,6994,Marten de Roon,Ground Pass,Right Foot,47.00929,56.180466,44.8,58.6
56e1c3f7-c411-42f8-b488-a8b7a5684827,36,1,0,,3,Regular Play,Netherlands,Marten de Roon,Right Defensive Midfield,0.854943,3788756,6994,,,,,0.8077155833989347,Complete,7829,Wout Weghorst,Low Pass,Right Foot,46.867313,64.098785,56.2,50.5
