id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
e22f1684-5920-4ab5-b875-a5ae56e6edaa,73,1,00:01:53.402,1,,5,From Throw In,Wales,Kieffer Roberto Francisco Moore,Center Forward,1.375338,3794689,3853,True,,,,0.28671951943278096,Incomplete,3517,Aaron Ramsey,High Pass,,42.380665,0.9686686,51.4,6.9,0.27 (3/11)
04a25055-ac7d-47e0-8183-5f0f1db18506,80,1,00:02:02.845,2,Recovery,5,From Throw In,Wales,Joe Allen,Left Defensive Midfield,0.721332,3794689,10931,,,,,0.7145208175586609,Complete,3517,Aaron Ramsey,Low Pass,Head,27.484838,16.135586,31.3,17.2,0.85 (44/52)
bf7e4d69-bc88-4862-a87e-d3af195b8182,84,1,00:02:06.075,2,,5,From Throw In,Wales,Aaron Ramsey,Center Attacking Midfield,0.882246,3794689,3517,,,,,0.9934701028076766,Complete,3086,Ben Davies,Ground Pass,Right Foot,25.221142,13.859708,18.1,11.5,0.79 (37/47)
d40c159f-edf6-4cda-83b3-fd7084a072da,86,1,00:02:06.957,2,,5,From Throw In,Wales,Ben Davies,Left Back,0.810257,3794689,3086,,,,,0.9833896000277408,Complete,11250,Joe Rodon,Ground Pass,Right Foot,19.593607,12.81109,21.1,18.7,0.75 (27/36)
2c40ad34-bff7-4ea0-ba08-ee75bb5576af,89,1,00:02:07.827,2,,5,From Throw In,Wales,Joe Rodon,Left Center Back,1.205606,3794689,11250,,,,,0.8135998890090608,Complete,11252,Daniel James,Low Pass,Right Foot,19.97999,20.141375,33.2,2.1,0.92 (36/39)
906a78af-de2b-4da2-a1fb-99c44c67e7c9,93,1,00:02:10.661,2,,5,From Throw In,Wales,Daniel James,Left Wing,1.322532,3794689,11252,True,,,,0.912390540694116,Complete,22074,Joseff Morrell,Ground Pass,Right Foot,30.718996,4.1601906,32.8,35.9,0.75 (15/20)
640c471a-322c-476f-ad86-36a5c72245de,96,1,00:02:14.221,2,,5,From Throw In,Wales,Joseff Morrell,Right Defensive Midfield,1.287128,3794689,22074,,,,,0.9789058136433753,Complete,10931,Joe Allen,Ground Pass,Right Foot,49.669685,32.935818,58.0,15.2,0.88 (28/32)
7c4821ca-b58c-43ff-82ad-2dc5048e7362,99,1,00:02:15.508,2,,5,From Throw In,Wales,Joe Allen,Left Defensive Midfield,2.750329,3794689,10931,True,,,,0.7179924540945999,Out,11252,Daniel James,Ground Pass,Right Foot,57.81433,20.301523,81.6,0.3,0.85 (44/52)
bcfcb7da-7176-4524-b8a4-47a9c0ebabf4,101,1,00:02:25.151,2,Throw-in,6,From Throw In,Denmark,Jens Stryger Larsen,Right Wing Back,0.867303,3794689,5524,,True,,,0.9847614497838848,Complete,3959,Andreas Christensen,Low Pass,,39.7,80.0,31.7,73.5,0.7 (43/61)
b4848867-a35c-448c-af85-eaa579db5742,103,1,00:02:27.427,2,,6,From Throw In,Denmark,Andreas Christensen,Right Center Back,2.328855,3794689,3959,,,,,0.9908658414126278,Complete,3815,Kasper Schmeichel,Ground Pass,Right Foot,17.9963,69.58983,4.6,50.9,0.81 (22/27)
1b5026cd-95e5-40bc-930a-d49a0bd38d3a,106,1,00:02:29.836,2,,6,From Throw In,Denmark,Kasper Schmeichel,Goalkeeper,3.012282,3794689,3815,,,,,0.9877237755913292,Complete,16554,Joakim Mæhle,Ground Pass,Right Foot,4.97866,47.308216,28.8,2.2,0.7 (16/23)
70ed3167-771c-4be9-8a9e-ab2a51c578a5,109,1,00:02:33.739,2,,6,From Throw In,Denmark,Joakim Mæhle,Left Wing Back,1.129669,3794689,16554,,,,,0.98939918659923,Complete,8815,Jannik Vestergaard,Ground Pass,Right Foot,23.13084,3.3848,15.8,15.6,0.86 (37/43)
262954e0-9fff-4925-b182-617ed92a5022,113,1,00:02:36.979,2,,6,From Throw In,Denmark,Jannik Vestergaard,Left Center Back,2.218303,3794689,8815,True,,,,0.3943878346366748,Incomplete,6302,Kasper Dolberg,High Pass,Left Foot,20.81153,14.9348,58.4,42.1,0.91 (52/57)
b69ccefd-502d-49e1-95c5-4938b1095a65,115,1,00:02:39.197,2,Interception,6,From Throw In,Wales,Joe Rodon,Left Center Back,2.549166,3794689,11250,,,,,0.8524537978877321,Incomplete,10931,Joe Allen,Low Pass,Right Foot,60.38825,39.583942,73.4,12.8,0.92 (36/39)
f6e0bfd1-326c-4840-9df4-4b5326b80bef,119,1,00:02:42.583,2,,6,From Throw In,Denmark,Jens Stryger Larsen,Right Wing Back,1.526175,3794689,5524,,,,,0.9142783750692776,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Right Foot,48.58041,65.57493,63.3,78.6,0.7 (43/61)
d450a881-4bb1-4006-b40c-c46cfe396344,123,1,00:02:45.333,2,,6,From Throw In,Denmark,Martin Braithwaite Christensen,Right Attacking Midfield,1.662184,3794689,4447,True,,,,0.9574765800136756,Complete,3959,Andreas Christensen,Ground Pass,Right Foot,56.574482,76.825386,35.4,67.1,0.71 (24/34)
ce8ee9be-107e-4953-ad40-2526cd1d770c,126,1,00:02:49.998,2,,6,From Throw In,Denmark,Andreas Christensen,Right Center Back,0.594475,3794689,3959,,,,,0.9333328626687244,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Right Foot,45.524185,54.64056,56.9,63.5,0.81 (22/27)
0d014401-f4aa-4a30-92b5-4862b04f3467,133,1,00:02:51.011,2,,6,From Throw In,Denmark,Martin Braithwaite Christensen,Right Attacking Midfield,1.386234,3794689,4447,True,,,,0.9657255002512332,Complete,5524,Jens Stryger Larsen,Ground Pass,Left Foot,57.13731,61.29045,64.4,75.7,0.71 (24/34)
040cb394-ec2f-41a7-a1ef-31a0ea706897,136,1,00:02:53.935,2,,6,From Throw In,Denmark,Jens Stryger Larsen,Right Wing Back,3.624162,3794689,5524,,,,,0.5789360155167931,Incomplete,16554,Joakim Mæhle,High Pass,Right Foot,66.01809,71.661575,87.1,18.1,0.7 (43/61)
ab0c3a2d-7a7f-4bad-ae03-ad2038231342,139,1,00:02:57.559,2,Recovery,7,Regular Play,Wales,Connor Roberts,Right Back,2.312555,3794689,4774,True,,,,0.5860299068757975,Complete,6399,Gareth Frank Bale,High Pass,,32.855877,56.899605,50.9,74.4,0.94 (17/18)
918f70fa-72a3-4ef1-846a-3cac8bad579d,142,1,00:03:03.617,3,,7,Regular Play,Wales,Gareth Frank Bale,Right Wing,1.172634,3794689,6399,,,,,0.8912074206264688,Complete,3853,Kieffer Roberto Francisco Moore,Ground Pass,Left Foot,64.31625,74.91074,84.3,75.4,0.71 (24/34)
85f92448-f611-420f-bd11-97660f2bea36,146,1,00:03:06.908,3,,7,Regular Play,Wales,Kieffer Roberto Francisco Moore,Center Forward,0.173314,3794689,3853,True,,,,0.01774040445999425,Incomplete,4774,Connor Roberts,Ground Pass,Right Foot,97.12077,76.22571,98.5,73.6,0.27 (3/11)
91bc41fb-c03e-42d6-9cc7-a645032420cc,151,1,00:03:13.367,3,,7,Regular Play,Wales,Gareth Frank Bale,Right Wing,0.815845,3794689,6399,,,,,0.9838897232434184,Complete,3517,Aaron Ramsey,Ground Pass,Left Foot,91.1,68.4,86.7,61.8,0.71 (24/34)
5b1d3d45-1364-4d7b-a11a-5b4dc3c2e1c8,153,1,00:03:14.183,3,,7,Regular Play,Wales,Aaron Ramsey,Center Attacking Midfield,0.9807,3794689,3517,,,,,0.9951301160264248,Complete,22074,Joseff Morrell,Ground Pass,Left Foot,88.3897,54.252815,75.7,68.2,0.79 (37/47)
