id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
e27669a1-0c9b-4f45-9f6f-74214406a073,5,1,00:00:01.479,0,Kick Off,2,From Kick Off,Austria,Marcel Sabitzer,Center Attacking Midfield,0.871645,3788767,8518,,,,,0.9986254929963828,Complete,11396,Florian Grillitsch,Ground Pass,Right Foot,59.668716,40.045727,54.3,40.7
0f5167ed-3d92-4b85-ac7a-6a87c51efa98,8,1,00:00:02.718,0,,2,From Kick Off,Austria,Florian Grillitsch,Left Center Midfield,0.923116,3788767,11396,,,,,0.9641105850326536,Complete,8518,Marcel Sabitzer,Ground Pass,Right Foot,52.8355,39.02881,62.0,39.7
4e6e3821-9ba6-4dab-b3f2-af51ed938aba,10,1,00:00:03.641,0,,2,From Kick Off,Austria,Marcel Sabitzer,Center Attacking Midfield,0.6192,3788767,8518,,,,,0.9930429194020488,Complete,11396,Florian Grillitsch,Ground Pass,Right Foot,60.433575,41.142353,51.6,41.2
bf8bc58e-4908-40fb-9e54-160ac9c1a33a,15,1,00:00:04.776,0,,2,From Kick Off,Austria,Florian Grillitsch,Left Center Midfield,1.267399,3788767,11396,True,,,,0.9897535588925398,Complete,3969,Aleksandar Dragović,Ground Pass,Right Foot,51.56308,40.213665,35.3,50.4
9e898a53-73d6-42ba-a2b9-b1e41ddf502c,19,1,00:00:06.231,0,,2,From Kick Off,Austria,Aleksandar Dragović,Right Center Back,1.945317,3788767,3969,True,,,,0.9832717430003219,Complete,8307,Martin Hinteregger,Ground Pass,Right Foot,36.5938,46.59488,27.8,26.5
770064af-8476-4b76-a049-87f2a70f1cb8,21,1,00:00:08.176,0,,2,From Kick Off,Austria,Martin Hinteregger,Left Center Back,2.418674,3788767,8307,,,,,0.9912933754658416,Complete,21532,Daniel Bachmann,Ground Pass,Left Foot,28.60904,23.83949,8.4,32.3
43f15bf4-d268-4519-baf7-7d39605ff6e7,24,1,00:00:12.102,0,,2,From Kick Off,Austria,Daniel Bachmann,Goalkeeper,2.655555,3788767,21532,,,,,0.28039403156126824,Incomplete,,,High Pass,Left Foot,9.59901,26.159916,62.8,40.6
af27494d-ce7f-4a5d-a04b-8315dcce25d7,27,1,00:00:15.610,0,,3,Regular Play,Ukraine,Vitalii Mykolenko,Left Back,1.01294,3788767,20827,,,,,0.998783779636788,Complete,18617,Mykola Matviyenko,Ground Pass,Left Foot,59.752865,40.636623,41.0,38.5
3d802f0c-c452-4a48-81d6-64be5877977b,30,1,00:00:17.478,0,,3,Regular Play,Ukraine,Mykola Matviyenko,Left Center Back,2.633311,3788767,18617,,,,,0.9926732139097778,Complete,22243,Heorhii Bushchan,Ground Pass,Right Foot,39.147964,38.56288,11.2,44.7
66bf6468-f362-4422-bef1-725ceeb2ea2b,33,1,00:00:21.518,0,,3,Regular Play,Ukraine,Heorhii Bushchan,Goalkeeper,1.985819,3788767,22243,,,,,0.5920136132796483,Complete,8830,Andriy Yarmolenko,High Pass,Right Foot,14.265155,51.234623,63.3,74.3
5c7c1f5a-52cd-4c4b-9a20-d4900a273e0a,37,1,00:00:25.867,0,Recovery,3,Regular Play,Austria,David Olatukunbo Alaba,Left Back,0.27567,3788767,8220,,,,,0.013339868406055637,Incomplete,11396,Florian Grillitsch,Low Pass,Head,47.59626,4.713104,51.2,5.4
64dfe9d5-f502-469f-84ba-0d7e3510be7c,42,1,00:00:26.888,0,,4,Regular Play,Austria,David Olatukunbo Alaba,Left Back,2.058427,3788767,8220,,,,,0.7437062576970734,Complete,8518,Marcel Sabitzer,High Pass,Left Foot,47.532814,3.73881,63.2,10.2
d708d670-d27e-422b-8ab8-ebc556466281,46,1,00:00:29.582,0,,4,Regular Play,Austria,Marcel Sabitzer,Center Attacking Midfield,0.982037,3788767,8518,True,,,,0.9093943933725621,Incomplete,11396,Florian Grillitsch,Low Pass,Right Foot,64.063484,15.25483,60.6,7.4
09f874c7-7052-4e66-b558-7b55f99e011d,49,1,00:00:31.606,0,Recovery,4,Regular Play,Austria,David Olatukunbo Alaba,Left Back,1.118366,3788767,8220,,,,,0.7012679126585871,Complete,24977,Christoph Baumgartner,High Pass,Left Foot,53.32497,8.92554,64.0,4.7
32086c60-2c25-4df8-b7a7-6e7e257f19de,53,1,00:00:34.076,0,,4,Regular Play,Austria,Christoph Baumgartner,Left Wing,0.268079,3788767,24977,True,,,,0.0299944857461722,Incomplete,8220,David Olatukunbo Alaba,Low Pass,Right Foot,62.3303,6.39553,61.2,5.0
49f30905-c5ab-4eb1-b03e-98e0ef17f5b0,56,1,00:00:51.634,0,Throw-in,5,From Throw In,Austria,David Olatukunbo Alaba,Left Back,0.539909,3788767,8220,,True,,,0.9602339691020652,Complete,24977,Christoph Baumgartner,Low Pass,,58.4,0.1,58.6,10.2
1fb5b169-b8d5-411f-9ff7-d67d5f87c3e6,58,1,00:00:52.200,0,,5,From Throw In,Austria,Christoph Baumgartner,Left Wing,1.1543,3788767,24977,,True,,,0.9949194693171926,Complete,11396,Florian Grillitsch,Ground Pass,Right Foot,58.6,10.2,48.6,8.8
aa157ffd-780c-45f8-984a-3743a833241a,61,1,00:00:54.196,0,,5,From Throw In,Austria,Florian Grillitsch,Left Center Midfield,2.027647,3788767,11396,True,,,,0.9600781391356079,Complete,3969,Aleksandar Dragović,Ground Pass,Right Foot,49.24446,9.37929,37.9,45.8
58b93239-f21a-4167-8288-b210bd557d8b,64,1,00:01:04.569,1,,5,From Throw In,Austria,Aleksandar Dragović,Right Center Back,2.668187,3788767,3969,,,,,0.4342425702712845,Incomplete,8220,David Olatukunbo Alaba,High Pass,Right Foot,57.37549,50.72252,97.9,20.9
b12d8947-f940-4271-bf79-cea5c1b9ff00,66,1,00:01:07.237,1,Recovery,5,From Throw In,Ukraine,Oleksandr Karavaev,Right Back,1.033679,3788767,31900,,,,,0.5129140689203353,Incomplete,8830,Andriy Yarmolenko,High Pass,Head,22.124172,58.976833,35.8,61.6
e03bfa0a-d4a0-4456-b7bf-98aca5e692d1,68,1,00:01:08.271,1,Recovery,5,From Throw In,Austria,Marcel Sabitzer,Center Attacking Midfield,1.985325,3788767,8518,,,,,0.4964805751529446,Incomplete,8220,David Olatukunbo Alaba,High Pass,Head,85.95143,18.925625,90.3,8.2
4a219f1f-bf92-4cdd-9f56-48e1ec717826,72,1,00:01:11.288,1,Recovery,5,From Throw In,Austria,Marcel Sabitzer,Center Attacking Midfield,1.236312,3788767,8518,,,,,0.3860455176494266,Complete,8220,David Olatukunbo Alaba,High Pass,Head,80.43709,9.19794,86.7,11.0
