id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
e7f13ae3-e371-47ee-a945-f022e33fab64,5,1,0,Kick Off,2,From Kick Off,Russia,Aleksey Miranchuk,Right Wing,1.685806,3788769,6299,,,,Complete,31917,Igor Diveev,Ground Pass,Left Foot,59.966366,39.77566,38.9,38.7
cc908140-c71d-4a4a-9424-003ab5261063,8,1,0,,2,From Kick Off,Russia,Igor Diveev,Center Back,3.546304,3788769,31917,,,,Incomplete,5195,Artem Dzyuba,High Pass,Right Foot,38.918926,42.081924,92.5,6.7
c31a23d3-7285-437a-9436-d4a7f2a8de91,12,1,0,Throw-in,3,From Throw In,Russia,Daler Kuzyaev,Left Wing Back,1.450748,3788769,5179,,,,Complete,5177,Aleksandr Golovin,Low Pass,,75.8,0.1,88.1,3.7
b451c19e-40f9-421b-b9ee-95986f1c8055,16,1,0,Free Kick,4,From Free Kick,Denmark,Andreas Christensen,Right Center Back,1.777442,3788769,3959,True,,,Complete,5534,Simon Thorup Kjær,Ground Pass,Right Foot,31.1,76.7,22.6,58.6
6bd18d47-c8a2-410d-bb58-7ac0bc507e71,18,1,0,,4,From Free Kick,Denmark,Simon Thorup Kjær,Center Back,1.84481,3788769,5534,,,,Complete,8815,Jannik Vestergaard,Ground Pass,Right Foot,22.32157,53.603455,22.4,32.2
fee03709-9e6f-463c-b2d8-bd239a3e6550,21,1,0,,4,From Free Kick,Denmark,Jannik Vestergaard,Left Center Back,3.569984,3788769,8815,,,,Incomplete,4447,Martin Braithwaite Christensen,High Pass,Right Foot,36.25805,31.06763,92.9,72.1
77f9885b-ea97-4fad-80df-5e1f73f5118b,25,1,0,Throw-in,5,From Throw In,Denmark,Daniel Wass,Right Wing Back,1.952698,3788769,6797,True,,,Complete,3959,Andreas Christensen,Low Pass,,93.4,80.0,71.6,77.1
b9431336-cfc1-4b5d-9bcc-0994cbef411f,27,1,0,,5,From Throw In,Denmark,Andreas Christensen,Right Center Back,1.539797,3788769,3959,,,,Complete,5534,Simon Thorup Kjær,Ground Pass,Right Foot,72.48725,68.4535,60.8,55.4
b7a5d200-ab79-48b6-a9cb-d17ca35663d5,30,1,1,,5,From Throw In,Denmark,Simon Thorup Kjær,Center Back,1.502345,3788769,5534,,,,Complete,3959,Andreas Christensen,Ground Pass,Right Foot,65.74435,52.14151,75.7,75.7
883df41f-2597-430a-bc39-456a6274503b,35,1,1,Throw-in,6,From Throw In,Russia,Fedor Kudryashov,Left Center Back,3.522905,3788769,5677,,,,Incomplete,5195,Artem Dzyuba,High Pass,,35.77331,0.36545306,79.2,3.9
