id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
ac1dfe29-900f-4799-8686-77e4936d535c,5,1,00:00:01.458,0,Kick Off,2,From Kick Off,Austria,Christoph Baumgartner,Left Center Forward,0.720508,3788747,24977,,,,0.9782100957856604,Complete,18762,Sasa Kalajdzic,Ground Pass,Right Foot,60.30061,41.38297,60.3,41.4
f37b43e4-3abc-4fd5-b823-e5b4df3f5964,8,1,00:00:02.294,0,,2,From Kick Off,Austria,Sasa Kalajdzic,Right Center Forward,1.670313,3788747,18762,,,,0.99027372155754,Complete,8220,David Olatukunbo Alaba,Ground Pass,Right Foot,59.12421,40.719128,34.5,38.0
d9cc4b94-ad2d-4229-86bd-26b72da4a135,11,1,00:00:05.036,0,,2,From Kick Off,Austria,David Olatukunbo Alaba,Center Back,0.88745,3788747,8220,,,,0.9932922545324137,Complete,3969,Aleksandar Dragović,Ground Pass,Left Foot,33.52831,43.434715,35.6,54.7
28e388ea-788a-413b-be09-568f754853d2,14,1,00:00:06.251,0,,2,From Kick Off,Austria,Aleksandar Dragović,Right Center Back,0.947012,3788747,3969,,,,0.9950800296849848,Complete,8220,David Olatukunbo Alaba,Ground Pass,Right Foot,36.683735,56.18403,33.7,41.7
a1f158be-bcef-439e-8be0-1ca40300539b,17,1,00:00:09.077,0,,2,From Kick Off,Austria,David Olatukunbo Alaba,Center Back,1.301863,3788747,8220,,,,0.978202060466264,Complete,8307,Martin Hinteregger,Ground Pass,Left Foot,34.099583,42.14683,45.1,16.6
cc6783c8-ec28-4c5b-a2f7-a1f2d22c91da,20,1,00:00:11.510,0,,2,From Kick Off,Austria,Martin Hinteregger,Left Center Back,1.644963,3788747,8307,,,,0.9942538129020101,Complete,8220,David Olatukunbo Alaba,Ground Pass,Left Foot,47.6,16.0,40.1,31.7
b7d0916f-9664-4355-a1c3-adba83eebe9a,23,1,00:00:16.216,0,,2,From Kick Off,Austria,David Olatukunbo Alaba,Center Back,1.59893,3788747,8220,,,,0.9761982377348384,Complete,3969,Aleksandar Dragović,Ground Pass,Left Foot,50.708927,42.08778,55.7,63.8
4e57a20c-10ac-4154-a491-b1ed48ada6f4,27,1,00:00:19.779,0,,2,From Kick Off,Austria,Aleksandar Dragović,Right Center Back,1.315046,3788747,3969,True,,,0.9364222314314179,Complete,8779,Stefan Lainer,Ground Pass,Right Foot,62.954834,68.58957,76.4,73.0
ee877813-1eb0-41f2-8426-24d7ffd6b5dd,29,1,00:00:21.094,0,,2,From Kick Off,Austria,Stefan Lainer,Right Wing Back,0.980379,3788747,8779,,,,0.8143897362719559,Complete,18762,Sasa Kalajdzic,Low Pass,Left Foot,72.70519,75.84126,81.1,56.0
dfd7f862-b4fe-4dbb-844f-2c3eeaf6858a,32,1,00:00:22.134,0,,2,From Kick Off,Austria,Sasa Kalajdzic,Right Center Forward,0.439305,3788747,18762,,,,0.3016774860551393,Complete,8506,Konrad Laimer,Low Pass,Right Foot,80.38737,62.957806,86.0,61.1
